"Date and Time","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-07-01 01:00:00",44.8,23.03
"2022-07-01 02:00:00",5.93,3.08
"2022-07-01 03:00:00",3.15,1.71
"2022-07-01 04:00:00",3.6,2.17
"2022-07-01 05:00:00",3.02,1.91
"2022-07-01 06:00:00",2.55,1.41
"2022-07-01 07:00:00",2.8,1.52
"2022-07-01 08:00:00",4.55,2.19
"2022-07-01 09:00:00",5.02,2.96
"2022-07-01 10:00:00",4.95,3.23
"2022-07-01 11:00:00",7.1,3.96
"2022-07-01 12:00:00",7.47,3.56
"2022-07-01 13:00:00",6.38,3.22
"2022-07-01 14:00:00",7.48,3.36
"2022-07-01 15:00:00",7.77,2.99
"2022-07-01 16:00:00",7.98,3.29
"2022-07-01 17:00:00",4.55,2.41
"2022-07-01 18:00:00",4,2.14
"2022-07-01 19:00:00",4.55,2.27
"2022-07-01 20:00:00",4.63,2.74
"2022-07-01 21:00:00",5.6,3.37
"2022-07-01 22:00:00",5.02,3.18
"2022-07-01 23:00:00",3.63,2.21
"2022-07-02 00:00:00",4.18,2.64
"2022-07-02 01:00:00",5.17,3.37
"2022-07-02 02:00:00",5.17,3.18
"2022-07-02 03:00:00",6.4,3.83
"2022-07-02 04:00:00",6.95,4.27
"2022-07-02 05:00:00",6.15,4.09
"2022-07-02 06:00:00",4.68,2.89
"2022-07-02 07:00:00",4.25,2.62
"2022-07-02 08:00:00",4.65,2.92
"2022-07-02 09:00:00",5.73,3.69
"2022-07-02 10:00:00",7.28,4.69
"2022-07-02 11:00:00",8.2,5.04
"2022-07-02 12:00:00",7.42,4.61
"2022-07-02 13:00:00",7.13,4.07
"2022-07-02 14:00:00",6.48,3.88
"2022-07-02 15:00:00",6.12,3.54
"2022-07-02 16:00:00",5.85,2.92
"2022-07-02 17:00:00",5.43,3
"2022-07-02 18:00:00",4.92,2.58
"2022-07-02 19:00:00",4.28,2.01
"2022-07-02 20:00:00",4.57,2.24
"2022-07-02 21:00:00",7.05,3.16
"2022-07-02 22:00:00",9.97,5.35
"2022-07-02 23:00:00",4.97,2.85
"2022-07-03 00:00:00",4.08,2.47
"2022-07-03 01:00:00",6.03,3.72
"2022-07-03 02:00:00",4.67,2.99
"2022-07-03 03:00:00",4.2,2.6
"2022-07-03 04:00:00",5.42,3.3
"2022-07-03 05:00:00",6,3.66
"2022-07-03 06:00:00",6.5,3.92
"2022-07-03 07:00:00",6.38,3.89
"2022-07-03 08:00:00",6.58,4.09
"2022-07-03 09:00:00",5.6,3.52
"2022-07-03 10:00:00",3.7,2.35
"2022-07-03 11:00:00",3.27,1.9
"2022-07-03 12:00:00",3.77,2.21
"2022-07-03 13:00:00",4.72,2.5
"2022-07-03 14:00:00",4.47,2.36
"2022-07-03 15:00:00",4.92,2.82
"2022-07-03 16:00:00",5,2.67
"2022-07-03 17:00:00",4.5,2.43
"2022-07-03 18:00:00",3.48,1.76
"2022-07-03 19:00:00",4,2.02
"2022-07-03 20:00:00",4.78,2.65
"2022-07-03 21:00:00",4.67,2.7
"2022-07-03 22:00:00",3.95,2.18
"2022-07-03 23:00:00",3.6,1.97
"2022-07-04 00:00:00",3.8,2.08
"2022-07-04 01:00:00",4.13,2.3
"2022-07-04 02:00:00",4.4,2.52
"2022-07-04 03:00:00",3.05,1.83
"2022-07-04 04:00:00",2.55,1.62
"2022-07-04 05:00:00",2.15,1.4
"2022-07-04 06:00:00",2.42,1.63
"2022-07-04 07:00:00",3.43,2.24
"2022-07-04 08:00:00",4.82,3.12
"2022-07-04 09:00:00",5.45,3.48
"2022-07-04 10:00:00",4.65,2.65
"2022-07-04 11:00:00",4.73,3.01
"2022-07-04 12:00:00",5.57,3.54
"2022-07-04 13:00:00",6.23,3.56
"2022-07-04 14:00:00",6.8,3.56
"2022-07-04 15:00:00",6.02,3.39
"2022-07-04 16:00:00",6.58,3.76
"2022-07-04 17:00:00",8.08,3.97
"2022-07-04 18:00:00",7.7,4.19
"2022-07-04 19:00:00",7.95,4.32
"2022-07-04 20:00:00",9.08,4.4
"2022-07-04 21:00:00",6.73,3.84
"2022-07-04 22:00:00",8.02,4.43
"2022-07-04 23:00:00",7.6,4.61
"2022-07-05 00:00:00",7.92,5.06
"2022-07-05 01:00:00",9.5,6.34
"2022-07-05 02:00:00",10.25,7.27
"2022-07-05 03:00:00",12.7,9.47
"2022-07-05 04:00:00",11.95,9.34
"2022-07-05 05:00:00",9.52,8.11
"2022-07-05 06:00:00",6.45,5.25
"2022-07-05 07:00:00",5.75,4.29
"2022-07-05 08:00:00",3.68,2.52
"2022-07-05 09:00:00",3.15,1.49
"2022-07-05 10:00:00",3.63,1.44
"2022-07-05 11:00:00",3.82,1.35
"2022-07-05 12:00:00",3.28,1.27
"2022-07-05 13:00:00",3.8,1.29
"2022-07-05 14:00:00",3.9,1.34
"2022-07-05 15:00:00",3.98,1.4
"2022-07-05 16:00:00",4,1.3
"2022-07-05 17:00:00",5.6,1.81
"2022-07-05 18:00:00",6.35,2.24
"2022-07-05 19:00:00",5.27,2.2
"2022-07-05 20:00:00",4.35,2.18
"2022-07-05 21:00:00",4.2,2.14
"2022-07-05 22:00:00",4.13,2.08
"2022-07-05 23:00:00",3.85,2.01
"2022-07-06 00:00:00",4.77,3.24
"2022-07-06 01:00:00",5.17,3.1
"2022-07-06 02:00:00",3.83,2.65
"2022-07-06 03:00:00",4.05,2.72
"2022-07-06 04:00:00",3.7,2.57
"2022-07-06 05:00:00",3.87,2.9
"2022-07-06 06:00:00",5.1,3.79
"2022-07-06 07:00:00",6.32,4.69
"2022-07-06 08:00:00",7.17,5.26
"2022-07-06 09:00:00",6.48,4.65
"2022-07-06 10:00:00",12.73,5.76
"2022-07-06 11:00:00",8.5,3.97
"2022-07-06 12:00:00",5.77,2.82
"2022-07-06 13:00:00",7.9,3.29
"2022-07-06 14:00:00",8.85,3.51
"2022-07-06 15:00:00",9.03,3.89
"2022-07-06 16:00:00",10.47,3.76
"2022-07-06 17:00:00",10.55,2.71
"2022-07-06 18:00:00",7.25,2.49
"2022-07-06 19:00:00",6.25,3.06
"2022-07-06 20:00:00",7.02,3.74
"2022-07-06 21:00:00",6.7,4.19
"2022-07-06 22:00:00",7.5,4.57
"2022-07-06 23:00:00",4.5,3
"2022-07-07 00:00:00",2.75,1.78
"2022-07-07 01:00:00",2.35,1.57
"2022-07-07 02:00:00",2.35,1.64
"2022-07-07 03:00:00",2.93,2.37
"2022-07-07 04:00:00",3.18,2.6
"2022-07-07 05:00:00",2.12,1.76
"2022-07-07 06:00:00",1.55,1.05
"2022-07-07 07:00:00",1.63,1.06
"2022-07-07 08:00:00",2.52,1.19
"2022-07-07 09:00:00",3.35,1.37
"2022-07-07 10:00:00",5.85,1.75
"2022-07-07 11:00:00",8.68,2.05
"2022-07-07 12:00:00",6.15,1.55
"2022-07-07 13:00:00",9.85,2.32
"2022-07-07 14:00:00",27.22,4.71
"2022-07-07 15:00:00",15.3,3.83
"2022-07-07 16:00:00",26.32,5.29
"2022-07-07 17:00:00",22.88,6.99
"2022-07-07 18:00:00",18.15,6.12
"2022-07-07 19:00:00",10.7,3.91
"2022-07-07 20:00:00",5.32,2.09
"2022-07-07 21:00:00",7.5,2.75
"2022-07-07 22:00:00",5.2,1.97
"2022-07-07 23:00:00",6.35,2.31
"2022-07-08 00:00:00",9.38,3.45
"2022-07-08 01:00:00",8.3,3.06
"2022-07-08 02:00:00",5.73,2.47
"2022-07-08 03:00:00",4,2.22
"2022-07-08 04:00:00",3.7,2.19
"2022-07-08 05:00:00",3.8,2.14
"2022-07-08 06:00:00",4.4,2.46
"2022-07-08 07:00:00",3.18,1.7
"2022-07-08 08:00:00",2.93,1.47
"2022-07-08 09:00:00",3.32,1.42
"2022-07-08 10:00:00",5.35,1.88
"2022-07-08 11:00:00",4.4,1.94
"2022-07-08 12:00:00",4.27,2.22
"2022-07-08 13:00:00",5.23,2.37
"2022-07-08 14:00:00",5.65,2.41
"2022-07-08 15:00:00",5.65,2.39
"2022-07-08 16:00:00",6.08,2.45
"2022-07-08 17:00:00",8.7,3.04
"2022-07-08 18:00:00",11.03,3.1
"2022-07-08 19:00:00",6.45,2.48
"2022-07-08 20:00:00",5.9,2.44
"2022-07-08 21:00:00",5.55,2.3
"2022-07-08 22:00:00",5.52,2.32
"2022-07-08 23:00:00",5,2.06
"2022-07-09 00:00:00",5.6,2.42
"2022-07-09 01:00:00",5.32,2.43
"2022-07-09 02:00:00",5.1,2.16
"2022-07-09 03:00:00",3.98,2.11
"2022-07-09 04:00:00",3.02,1.64
"2022-07-09 05:00:00",2.8,1.64
"2022-07-09 06:00:00",3.05,1.72
"2022-07-09 07:00:00",4.82,2.22
"2022-07-09 08:00:00",4.5,2.03
"2022-07-09 09:00:00",3.1,1.38
"2022-07-09 10:00:00",4.25,1.28
"2022-07-09 11:00:00",3.75,1.32
"2022-07-09 12:00:00",3.18,1.35
"2022-07-09 13:00:00",4.12,1.37
"2022-07-09 14:00:00",5.95,1.97
"2022-07-09 15:00:00",7.77,2.59
"2022-07-09 16:00:00",17.3,5.41
