"Date and Time","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-01-01 00:00:00",5.52,4.14
"2022-01-01 01:00:00",19.83,16.63
"2022-01-01 02:00:00",22.05,19.49
"2022-01-01 03:00:00",27.25,21.32
"2022-01-01 04:00:00",31.48,24.13
"2022-01-01 05:00:00",27.33,22.36
"2022-01-01 06:00:00",23.97,20.71
"2022-01-01 07:00:00",26.1,23.01
"2022-01-01 08:00:00",23.85,21.74
"2022-01-01 09:00:00",25.3,23.21
"2022-01-01 10:00:00",22.07,20.4
"2022-01-01 11:00:00",26.72,24.76
"2022-01-01 12:00:00",24.5,22.6
"2022-01-01 13:00:00",23.7,21.48
"2022-01-01 14:00:00",20.8,18.84
"2022-01-01 15:00:00",21.7,19.81
"2022-01-01 16:00:00",22,20.04
"2022-01-01 17:00:00",19.67,18.02
"2022-01-01 18:00:00",19.25,18.02
"2022-01-01 19:00:00",18.83,17.53
"2022-01-01 20:00:00",17.3,15.88
"2022-01-01 21:00:00",16.82,14.85
"2022-01-01 22:00:00",16.13,14.63
"2022-01-01 23:00:00",16.6,15.66
"2022-01-02 00:00:00",16.97,15.6
"2022-01-02 01:00:00",17.52,16.14
"2022-01-02 02:00:00",16.38,15.58
"2022-01-02 03:00:00",15.85,14.55
"2022-01-02 04:00:00",10.87,10.3
"2022-01-02 05:00:00",12.38,11.65
"2022-01-02 06:00:00",11.5,10.88
"2022-01-02 07:00:00",10.68,9.73
"2022-01-02 08:00:00",9.45,8.87
"2022-01-02 09:00:00",9.47,8.73
"2022-01-02 10:00:00",10.63,9.65
"2022-01-02 11:00:00",7.52,6.88
"2022-01-02 12:00:00",4.85,4.24
"2022-01-02 13:00:00",4.6,4.07
"2022-01-02 14:00:00",8.13,6.87
"2022-01-02 15:00:00",9.15,8.55
"2022-01-02 16:00:00",7.27,7
"2022-01-02 17:00:00",10.3,9.37
"2022-01-02 18:00:00",13.82,12.5
"2022-01-02 19:00:00",14.13,12.81
"2022-01-02 20:00:00",13.55,12.56
"2022-01-02 21:00:00",14.08,13.15
"2022-01-02 22:00:00",14.3,13.46
"2022-01-02 23:00:00",15.97,15.04
"2022-01-03 00:00:00",12.45,12.03
"2022-01-03 01:00:00",13.75,13.39
"2022-01-03 02:00:00",12.92,12.25
"2022-01-03 03:00:00",14.48,13.43
"2022-01-03 04:00:00",13.25,13.01
"2022-01-03 05:00:00",12.03,11.49
"2022-01-03 06:00:00",13.55,12.11
"2022-01-03 07:00:00",14.07,12.62
"2022-01-03 08:00:00",14.2,13.52
"2022-01-03 09:00:00",13.75,12.7
"2022-01-03 10:00:00",14.05,12.56
"2022-01-03 11:00:00",11.42,10.68
"2022-01-03 12:00:00",12.2,11.3
"2022-01-03 13:00:00",13.08,11.76
"2022-01-03 14:00:00",12.08,11.06
"2022-01-03 15:00:00",10.08,8.97
"2022-01-03 16:00:00",10.95,8.82
"2022-01-03 17:00:00",12.15,10.32
"2022-01-03 18:00:00",11.55,10.02
"2022-01-03 19:00:00",10.33,8.49
"2022-01-03 20:00:00",3.95,3.82
"2022-01-03 21:00:00",4,3.63
"2022-01-03 22:00:00",7.82,6.04
"2022-01-03 23:00:00",6.75,6.27
"2022-01-04 00:00:00",6.38,5.6
"2022-01-04 01:00:00",7.37,6.56
"2022-01-04 02:00:00",7.32,6
"2022-01-04 03:00:00",7.88,6.77
"2022-01-04 04:00:00",7.67,6.44
"2022-01-04 05:00:00",7.5,6.3
"2022-01-04 06:00:00",7.1,6.14
"2022-01-04 07:00:00",7.5,6.87
"2022-01-04 08:00:00",8.72,7.43
"2022-01-04 09:00:00",9.8,8.54
"2022-01-04 10:00:00",11.92,10.72
"2022-01-04 11:00:00",13.17,11.76
"2022-01-04 12:00:00",11.95,10.84
"2022-01-04 13:00:00",11.45,10.07
"2022-01-04 14:00:00",12.52,10.11
"2022-01-04 15:00:00",12.17,10.52
"2022-01-04 16:00:00",12.58,10.68
"2022-01-04 17:00:00",11.85,10.12
"2022-01-04 18:00:00",9.75,9.09
"2022-01-04 19:00:00",10.05,8.87
"2022-01-04 20:00:00",9.68,8.78
"2022-01-04 21:00:00",9.72,9.16
"2022-01-04 22:00:00",8.93,8.41
"2022-01-04 23:00:00",8.45,7.99
"2022-01-05 00:00:00",7.42,6.74
"2022-01-05 01:00:00",7.65,6.76
"2022-01-05 02:00:00",7.75,6.78
"2022-01-05 03:00:00",7.4,6.6
"2022-01-05 04:00:00",7.33,6.55
"2022-01-05 05:00:00",7,6.4
"2022-01-05 06:00:00",6.52,5.85
"2022-01-05 07:00:00",6.92,6.31
"2022-01-05 08:00:00",7.27,6.64
"2022-01-05 09:00:00",8.15,6.78
"2022-01-05 10:00:00",8.7,7.24
"2022-01-05 11:00:00",8.07,6.94
"2022-01-05 12:00:00",9.8,7.73
"2022-01-05 13:00:00",10.28,7.82
"2022-01-05 14:00:00",10.33,7.22
"2022-01-05 15:00:00",9.5,7.53
"2022-01-05 16:00:00",11.88,8.58
"2022-01-05 17:00:00",13.28,8.96
"2022-01-05 18:00:00",14.38,9.97
"2022-01-05 19:00:00",15.9,10.73
"2022-01-05 20:00:00",19.3,13.38
"2022-01-05 21:00:00",20.63,14.32
"2022-01-05 22:00:00",13.05,9.48
"2022-01-05 23:00:00",8.42,6.24
"2022-01-06 00:00:00",6.55,5.23
"2022-01-06 01:00:00",5.08,4.23
"2022-01-06 02:00:00",4.58,3.66
"2022-01-06 03:00:00",4.03,3.49
"2022-01-06 04:00:00",3.77,3.31
"2022-01-06 05:00:00",5.13,4.12
"2022-01-06 06:00:00",5.6,4.54
"2022-01-06 07:00:00",6.18,5.35
"2022-01-06 08:00:00",5.9,5
"2022-01-06 09:00:00",2.6,2.61
"2022-01-06 10:00:00",3.28,2.58
"2022-01-06 11:00:00",4.6,3.76
"2022-01-06 12:00:00",9.05,7.46
"2022-01-06 13:00:00",12.2,11.02
"2022-01-06 14:00:00",8.65,7.78
"2022-01-06 15:00:00",7.77,6.89
"2022-01-06 16:00:00",5.77,4.75
"2022-01-06 17:00:00",7.42,6.73
"2022-01-06 18:00:00",4.55,4.07
"2022-01-06 19:00:00",6.15,5.43
"2022-01-06 20:00:00",6.2,6.02
"2022-01-06 21:00:00",2.22,2.12
"2022-01-06 22:00:00",2.75,2.63
"2022-01-06 23:00:00",3.18,3.09
"2022-01-07 00:00:00",3.3,3.13
"2022-01-07 01:00:00",3.03,2.97
"2022-01-07 02:00:00",2.17,2.21
"2022-01-07 03:00:00",2.4,2.21
"2022-01-07 04:00:00",2.57,2.54
"2022-01-07 05:00:00",3.38,3.34
"2022-01-07 06:00:00",2.7,2.62
"2022-01-07 07:00:00",3.65,3.55
"2022-01-07 08:00:00",4.75,4.37
"2022-01-07 09:00:00",7.65,6.38
"2022-01-07 10:00:00",8.82,7.48
"2022-01-07 11:00:00",8.13,7.52
"2022-01-07 12:00:00",4.38,3.79
"2022-01-07 13:00:00",4.03,3.12
"2022-01-07 14:00:00",2.15,1.65
"2022-01-07 15:00:00",2.35,2.15
"2022-01-07 16:00:00",3.7,3.05
"2022-01-07 17:00:00",5,4.13
"2022-01-07 18:00:00",6.35,4.91
"2022-01-07 19:00:00",6.25,5.29
"2022-01-07 20:00:00",6.5,5.62
"2022-01-07 21:00:00",9.5,7.61
"2022-01-07 22:00:00",8.83,7.34
"2022-01-07 23:00:00",7,6.02
"2022-01-08 00:00:00",15.3,13.36
"2022-01-08 01:00:00",14,13.09
"2022-01-08 02:00:00",10.83,10.36
"2022-01-08 03:00:00",7.82,7.61
"2022-01-08 04:00:00",3.85,3.76
"2022-01-08 05:00:00",2.97,2.91
"2022-01-08 06:00:00",1.37,1.41
"2022-01-08 07:00:00",0.7,0.69
"2022-01-08 08:00:00",8.42,8.08
"2022-01-08 09:00:00",22.15,21.55
"2022-01-08 10:00:00",27.85,26.44
"2022-01-08 11:00:00",32.68,30.01
"2022-01-08 12:00:00",26.4,24.08
"2022-01-08 13:00:00",17.22,16.05
"2022-01-08 14:00:00",10.85,9.59
"2022-01-08 15:00:00",8.58,7.57
"2022-01-08 16:00:00",8.92,8.29
"2022-01-08 17:00:00",9.45,8.59
"2022-01-08 18:00:00",8.3,7.91
"2022-01-08 19:00:00",6.97,6.63
"2022-01-08 20:00:00",4.42,4.19
