,datetime,rain,rhum,msl,temp,wetb,dewpt,vappr,pm10,pm2.5,hour,day,month
0,2021-01-01 00:00:00,0.0,88.0,1012.9,4.7,3.9,2.8,7.5,15.57,12.29,0,1,1
1,2021-01-01 01:00:00,0.0,87.0,1013.4,4.6,3.9,2.7,7.4,11.19,8.44,1,1,1
2,2021-01-01 02:00:00,0.0,89.0,1013.8,4.3,3.7,2.7,7.4,7.99,5.24,2,1,1
3,2021-01-01 03:00:00,0.0,89.0,1014.3,4.1,3.5,2.6,7.4,7.19,5.32,3,1,1
4,2021-01-01 04:00:00,0.0,89.0,1014.6,3.6,3.0,2.1,7.1,6.89,4.57,4,1,1
5,2021-01-01 05:00:00,0.0,87.0,1014.8,3.6,2.9,1.7,6.9,6.31,3.91,5,1,1
6,2021-01-01 06:00:00,0.0,91.0,1015.1,2.0,1.6,0.8,6.5,7.64,4.75,6,1,1
7,2021-01-01 07:00:00,0.0,93.0,1015.7,1.3,1.0,0.4,6.3,6.92,3.78,7,1,1
8,2021-01-01 08:00:00,0.0,95.0,1016.2,0.9,0.6,0.2,6.2,5.31,2.98,8,1,1
9,2021-01-01 09:00:00,0.0,95.0,1016.8,0.3,0.1,-0.4,6.0,6.02,3.71,9,1,1
10,2021-01-01 10:00:00,0.0,96.0,1017.1,0.7,0.5,0.2,6.2,6.23,4.16,10,1,1
11,2021-01-01 11:00:00,0.0,93.0,1017.4,2.3,1.9,1.3,6.7,7.64,5.04,11,1,1
12,2021-01-01 12:00:00,0.0,88.0,1017.4,3.1,2.5,1.5,6.8,8.45,5.88,12,1,1
13,2021-01-01 13:00:00,0.0,86.0,1017.2,4.1,3.3,2.0,7.1,8.67,6.14,13,1,1
14,2021-01-01 14:00:00,0.0,83.0,1017.0,4.6,3.6,2.0,7.1,8.06,5.72,14,1,1
15,2021-01-01 15:00:00,0.0,83.0,1017.4,4.7,3.7,2.1,7.1,7.21,5.16,15,1,1
16,2021-01-01 16:00:00,0.0,87.0,1018.0,3.5,2.8,1.6,6.9,10.46,8.34,16,1,1
17,2021-01-01 17:00:00,0.0,92.0,1018.4,2.0,1.6,0.9,6.5,17.81,15.39,17,1,1
18,2021-01-01 18:00:00,0.0,93.0,1018.8,1.0,0.7,0.0,6.1,43.24,40.59,18,1,1
19,2021-01-01 19:00:00,0.0,96.0,1019.3,0.2,0.1,-0.3,6.0,45.67,42.67,19,1,1
20,2021-01-01 20:00:00,0.0,96.0,1019.6,0.2,0.0,-0.3,6.0,44.84,42.32,20,1,1
21,2021-01-01 21:00:00,0.0,95.0,1020.2,-0.3,-0.5,-0.9,5.7,42.61,40.03,21,1,1
22,2021-01-01 22:00:00,0.0,94.0,1020.5,-0.3,-0.6,-1.1,5.7,27.54,24.89,22,1,1
23,2021-01-01 23:00:00,0.0,94.0,1020.7,-0.8,-1.0,-1.6,5.4,26.66,23.55,23,1,1
24,2021-02-01 00:00:00,0.0,94.0,1020.7,-1.1,-1.3,-1.8,5.3,9.59,8.66,0,1,2
25,2021-02-01 01:00:00,0.0,94.0,1021.0,-1.1,-1.3,-1.8,5.4,8.34,7.67,1,1,2
26,2021-02-01 02:00:00,0.0,95.0,1021.3,-1.4,-1.6,-2.0,5.3,12.44,10.56,2,1,2
27,2021-02-01 03:00:00,0.0,95.0,1021.4,-1.6,-1.8,-2.2,5.2,13.31,10.95,3,1,2
28,2021-02-01 04:00:00,0.0,95.0,1021.0,-0.9,-1.1,-1.6,5.4,14.75,11.16,4,1,2
29,2021-02-01 05:00:00,0.0,93.0,1020.9,-0.1,-0.4,-1.1,5.7,14.05,11.46,5,1,2
30,2021-02-01 06:00:00,0.0,93.0,1020.4,0.4,0.1,-0.6,5.9,12.48,10.58,6,1,2
31,2021-02-01 07:00:00,0.0,93.0,1020.4,0.6,0.3,-0.3,6.0,17.84,14.01,7,1,2
32,2021-02-01 08:00:00,0.0,95.0,1020.4,0.6,0.3,-0.1,6.1,17.44,14.03,8,1,2
33,2021-02-01 09:00:00,0.0,95.0,1020.6,0.9,0.6,0.3,6.2,16.04,11.0,9,1,2
34,2021-02-01 10:00:00,0.0,95.0,1020.9,1.2,0.9,0.5,6.3,13.34,9.99,10,1,2
35,2021-02-01 11:00:00,0.0,95.0,1021.1,1.7,1.5,1.0,6.6,15.19,12.75,11,1,2
36,2021-02-01 12:00:00,0.0,93.0,1020.7,2.7,2.3,1.8,6.9,20.13,17.08,12,1,2
37,2021-02-01 13:00:00,0.0,92.0,1020.4,3.5,3.1,2.4,7.3,20.69,15.74,13,1,2
38,2021-02-01 14:00:00,0.1,91.0,1020.4,3.6,3.1,2.4,7.2,12.1,10.15,14,1,2
39,2021-02-01 15:00:00,0.0,89.0,1020.6,3.3,2.7,1.7,6.9,12.95,9.97,15,1,2
40,2021-02-01 16:00:00,0.0,90.0,1021.1,2.8,2.2,1.3,6.7,12.43,10.47,16,1,2
41,2021-02-01 17:00:00,0.0,92.0,1021.5,1.8,1.4,0.7,6.4,13.17,11.6,17,1,2
42,2021-02-01 18:00:00,0.0,91.0,1022.1,1.0,0.6,-0.2,6.0,14.04,13.06,18,1,2
43,2021-02-01 19:00:00,0.0,91.0,1022.4,0.6,0.1,-0.7,5.8,15.87,14.65,19,1,2
44,2021-02-01 20:00:00,0.0,89.0,1022.6,0.9,0.3,-0.7,5.8,16.11,14.67,20,1,2
45,2021-02-01 21:00:00,0.0,91.0,1023.1,-0.7,-1.1,-1.9,5.3,13.77,12.44,21,1,2
46,2021-02-01 22:00:00,0.0,93.0,1023.4,-1.3,-1.6,-2.3,5.2,10.19,8.88,22,1,2
47,2021-02-01 23:00:00,0.0,93.0,1023.7,-1.1,-1.4,-2.0,5.3,9.58,8.44,23,1,2
48,2021-03-01 00:00:00,0.0,94.0,1023.8,-1.6,-1.8,-2.4,5.1,34.65,30.8,0,1,3
49,2021-03-01 01:00:00,0.0,93.0,1023.8,-1.4,-1.7,-2.4,5.1,32.37,29.0,1,1,3
50,2021-03-01 02:00:00,0.0,91.0,1023.9,-1.0,-1.4,-2.2,5.2,28.71,25.07,2,1,3
51,2021-03-01 03:00:00,0.0,94.0,1024.0,-1.7,-2.0,-2.5,5.1,29.76,25.57,3,1,3
52,2021-03-01 04:00:00,0.0,92.0,1023.9,0.3,-0.1,-0.8,5.7,28.64,25.17,4,1,3
53,2021-03-01 05:00:00,0.0,88.0,1023.8,0.6,0.0,-1.1,5.6,30.3,26.62,5,1,3
54,2021-03-01 06:00:00,0.0,89.0,1023.8,0.2,-0.3,-1.4,5.5,37.62,27.49,6,1,3
