"Date and Time","NO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-09-01 01:00:00",7.87,3.93,2.29
"2022-09-01 02:00:00",8.8,3.92,2.31
"2022-09-01 03:00:00",11.67,4.24,2.35
"2022-09-01 04:00:00",8.27,4.68,2.75
"2022-09-01 05:00:00",3.12,5.13,3.13
"2022-09-01 06:00:00",9.22,5.06,3.04
"2022-09-01 07:00:00",19.34,5.69,3.47
"2022-09-01 08:00:00",15.37,6.31,3.24
"2022-09-01 09:00:00",17.36,6.17,3.07
"2022-09-01 10:00:00",21.38,7.35,3.11
"2022-09-01 11:00:00",14.46,6.98,2.94
"2022-09-01 12:00:00",15.6,6.18,2.53
"2022-09-01 13:00:00",10.97,4.22,2.04
"2022-09-01 14:00:00",14.47,5.23,2.27
"2022-09-01 15:00:00",10.01,6.64,2.61
"2022-09-01 16:00:00",7.58,5.19,2.45
"2022-09-01 17:00:00",10.26,4.74,2.25
"2022-09-01 18:00:00",16.6,3.93,1.93
"2022-09-01 19:00:00",11.18,4.15,1.89
"2022-09-01 20:00:00",13.68,4.85,2
"2022-09-01 21:00:00",15.54,4.03,1.85
"2022-09-01 22:00:00",21.75,4.52,2.13
"2022-09-01 23:00:00",21.14,5.98,2.99
"2022-09-02 00:00:00",18.7,3.79,2.01
"2022-09-02 01:00:00",21.52,4.34,2.61
"2022-09-02 02:00:00",12.72,4.97,3.1
"2022-09-02 03:00:00",8.37,4.26,2.17
"2022-09-02 04:00:00",11.72,4.51,2.37
"2022-09-02 05:00:00",16.89,4.86,2.43
"2022-09-02 06:00:00",24.99,7.22,3.14
"2022-09-02 07:00:00",33.91,8.65,3.38
"2022-09-02 08:00:00",45.98,10.15,3.87
"2022-09-02 09:00:00",40.17,13.01,4.52
"2022-09-02 10:00:00",38.39,13.22,4.52
"2022-09-02 11:00:00",30.7,8.2,2.94
"2022-09-02 12:00:00",21.83,6.55,2.4
"2022-09-02 13:00:00",29.01,9.13,3.56
"2022-09-02 14:00:00",25.49,9.4,3.47
"2022-09-02 15:00:00",27.73,5.7,2.44
"2022-09-02 16:00:00",24.57,3.81,1.88
"2022-09-02 17:00:00",23.73,3.7,1.99
"2022-09-02 18:00:00",24.41,4.45,2.15
"2022-09-02 19:00:00",8.26,5.11,2.76
"2022-09-02 20:00:00",5.09,3.72,1.65
"2022-09-02 21:00:00",4.15,4.35,1.8
"2022-09-02 22:00:00",4.78,4.26,2.96
"2022-09-02 23:00:00",1.94,1.58,0.99
"2022-09-03 00:00:00",-0.09,1.75,1.41
"2022-09-03 01:00:00",-1.98,4.73,3.52
"2022-09-03 02:00:00",-1.81,2.79,2.41
"2022-09-03 03:00:00",-0.72,1,0.67
"2022-09-03 04:00:00",0.5,0.37,0.32
"2022-09-03 05:00:00",-1,0.54,0.38
"2022-09-03 06:00:00",6.63,0.32,0.12
"2022-09-03 07:00:00",10.03,0.26,0.16
"2022-09-03 08:00:00",23.99,0.39,0.21
"2022-09-03 09:00:00",34.53,0.4,0.17
"2022-09-03 10:00:00",22.24,0.42,0.33
"2022-09-03 11:00:00",19.48,0.64,0.39
"2022-09-03 12:00:00",15.47,0.5,0.25
"2022-09-03 13:00:00",25.54,0.21,0.15
"2022-09-03 14:00:00",18.65,0.13,0.1
"2022-09-03 15:00:00",7.83,0.15,0.12
"2022-09-03 16:00:00",6.12,0.2,0.09
"2022-09-03 17:00:00",7.2,0.01,0
"2022-09-03 18:00:00",4.21,0,0
"2022-09-03 19:00:00",2.81,0,0
"2022-09-03 19:01:00",,,
"2022-09-03 20:00:00",5.84
"2022-09-03 20:01:00",,,
"2022-09-03 21:00:00",10.53
"2022-09-03 22:00:00",2.89,0,0
"2022-09-03 23:00:00",5.74,0,0
"2022-09-03 23:01:00",,,
"2022-09-04 00:00:00",3.66
"2022-09-04 00:01:00",,,
"2022-09-04 01:00:00",9.08
"2022-09-04 02:00:00",4.15,0,0
"2022-09-04 02:01:00",,,
"2022-09-04 03:00:00",2.41
"2022-09-04 03:01:00",,,
"2022-09-04 04:00:00",-0.78,0,0
"2022-09-04 05:00:00",-0.71,0,0
"2022-09-04 05:01:00",,,
"2022-09-04 06:00:00",1.66
"2022-09-04 06:01:00",,,
"2022-09-04 07:00:00",1.77
"2022-09-04 08:00:00",0.75
"2022-09-04 09:00:00",0.81
"2022-09-04 10:00:00",0.77
"2022-09-04 11:00:00",1.68
"2022-09-04 12:00:00",1.97
"2022-09-04 13:00:00",0.65
"2022-09-04 14:00:00",0.84
"2022-09-04 15:00:00",1.31
"2022-09-04 16:00:00",-0.02
"2022-09-04 17:00:00",1.37
"2022-09-04 18:00:00",4.78
"2022-09-04 19:00:00",3.03
"2022-09-04 20:00:00",5.89
"2022-09-04 21:00:00",3.14,0.01,0
"2022-09-04 21:01:00",,,
"2022-09-04 22:00:00",-0.58
"2022-09-04 22:01:00",,,
"2022-09-04 23:00:00",-0.74
"2022-09-05 00:00:00",-2.22
"2022-09-05 01:00:00",-2.24
"2022-09-05 02:00:00",-2.25
"2022-09-05 03:00:00",-2.69
"2022-09-05 04:00:00",-2.99
"2022-09-05 05:00:00",1.9
"2022-09-05 06:00:00",9.18
"2022-09-05 07:00:00",26.86
"2022-09-05 08:00:00",24.18
"2022-09-05 09:00:00",22.3
"2022-09-05 10:00:00",7.64
"2022-09-05 11:00:00",6.51
"2022-09-05 12:00:00",2.21
"2022-09-05 13:00:00",3.19
"2022-09-05 14:00:00",5.21
"2022-09-05 15:00:00",8.32
"2022-09-05 16:00:00",3.61
"2022-09-05 17:00:00",2.75
"2022-09-05 18:00:00",4.16
"2022-09-05 19:00:00",3.57
"2022-09-05 20:00:00",2.42
"2022-09-05 21:00:00",2.45
"2022-09-05 22:00:00",1.33
"2022-09-05 23:00:00",-0.61
"2022-09-06 00:00:00",-2.17,0,0
"2022-09-06 00:01:00",,,
"2022-09-06 01:00:00",-1.86
"2022-09-06 01:01:00",,,
"2022-09-06 02:00:00",-1.61
"2022-09-06 03:00:00",-3
"2022-09-06 04:00:00",-2.43
"2022-09-06 05:00:00",-2.3
"2022-09-06 06:00:00",0.61
"2022-09-06 07:00:00",11.47
"2022-09-06 08:00:00",6.31
"2022-09-06 09:00:00",7.97
"2022-09-06 10:00:00",4.66
"2022-09-06 11:00:00",4.67
"2022-09-06 12:00:00",6.35
"2022-09-06 13:00:00",6.96
"2022-09-06 14:00:00",7.12
"2022-09-06 15:00:00",6.1
"2022-09-06 16:00:00",4.97
"2022-09-06 17:00:00",3.36
"2022-09-06 18:00:00",4.81
"2022-09-06 19:00:00",7.55
"2022-09-06 20:00:00",19.91
"2022-09-06 21:00:00",10.59
"2022-09-06 22:00:00",10.66
"2022-09-06 23:00:00",7.63
"2022-09-07 00:00:00",7.5
"2022-09-07 01:00:00",-0.27
"2022-09-07 02:00:00",-0.33
"2022-09-07 03:00:00",-0.37
"2022-09-07 04:00:00",-2.01
"2022-09-07 05:00:00",-1.73
"2022-09-07 06:00:00",1.77
"2022-09-07 07:00:00",6.29
"2022-09-07 08:00:00",12.79
"2022-09-07 09:00:00",14.85
"2022-09-07 10:00:00",11.57
"2022-09-07 11:00:00",9.05
"2022-09-07 12:00:00",9.33
"2022-09-07 13:00:00",6.97
"2022-09-07 14:00:00",6.17
"2022-09-07 15:00:00",8.42
"2022-09-07 16:00:00",5.79
"2022-09-07 17:00:00",6.5
"2022-09-07 18:00:00",6.83
"2022-09-07 19:00:00",4.73,0,0
"2022-09-07 19:01:00",,,
"2022-09-07 20:00:00",4.44
"2022-09-07 20:01:00",,,
"2022-09-07 21:00:00",3.64
"2022-09-07 22:00:00",1.58
"2022-09-07 23:00:00",0.91
"2022-09-08 00:00:00",-0.6
"2022-09-08 01:00:00",2.37
"2022-09-08 02:00:00",-0.12
"2022-09-08 03:00:00",15.01,0.01,0
"2022-09-08 03:01:00",,,
"2022-09-08 04:00:00",8.24
"2022-09-08 04:01:00",,,
"2022-09-08 05:00:00",24.16
"2022-09-08 06:00:00",31.08
"2022-09-08 07:00:00",35.07
"2022-09-08 08:00:00",30.4
"2022-09-08 09:00:00",29.61
"2022-09-08 10:00:00",25.56
"2022-09-08 11:00:00",20.59
"2022-09-08 12:00:00",19.48
"2022-09-08 13:00:00",18.83
"2022-09-08 14:00:00",14.89
"2022-09-08 15:00:00",18.96
"2022-09-08 16:00:00",16.48
"2022-09-08 17:00:00",15.11
"2022-09-08 18:00:00",14.12
"2022-09-08 19:00:00",16.11
"2022-09-08 20:00:00",21.43
"2022-09-08 21:00:00",23.14
"2022-09-08 22:00:00",26.14
"2022-09-08 23:00:00",17.81
"2022-09-09 00:00:00",6.25,0.18,0.11
"2022-09-09 00:01:00",,,
"2022-09-09 01:00:00",5.74
"2022-09-09 01:01:00",,,
"2022-09-09 02:00:00",3.06
"2022-09-09 03:00:00",1.86
"2022-09-09 04:00:00",0.46
"2022-09-09 05:00:00",1.12
"2022-09-09 06:00:00",12.15
"2022-09-09 07:00:00",17.04
"2022-09-09 08:00:00",19.2
"2022-09-09 09:00:00",19.78
"2022-09-09 10:00:00",21.35
"2022-09-09 11:00:00",18.09
"2022-09-09 12:00:00",16.95
"2022-09-09 13:00:00",16.1
"2022-09-09 14:00:00",22.45
"2022-09-09 15:00:00",19.56
"2022-09-09 16:00:00",19.11
"2022-09-09 17:00:00",21.17
"2022-09-09 18:00:00",25.55
"2022-09-09 19:00:00",13.42
"2022-09-09 20:00:00",18
"2022-09-09 21:00:00",22.78
"2022-09-09 22:00:00",27.46
"2022-09-09 23:00:00",25.34
"2022-09-10 00:00:00",31.05
"2022-09-10 01:00:00",30.22
"2022-09-10 02:00:00",26.85
"2022-09-10 03:00:00",20.99
"2022-09-10 04:00:00",15.45
"2022-09-10 05:00:00",14.54
"2022-09-10 06:00:00",19.38
"2022-09-10 07:00:00",17.07
"2022-09-10 08:00:00",24.11
"2022-09-10 09:00:00",22.73
"2022-09-10 10:00:00",21.48
"2022-09-10 11:00:00",16.63
"2022-09-10 12:00:00",27.46
"2022-09-10 13:00:00",27.63
"2022-09-10 14:00:00",20.86
"2022-09-10 15:00:00",15.58
"2022-09-10 16:00:00",11.03
"2022-09-10 17:00:00",10.47
"2022-09-10 18:00:00",14.27
"2022-09-10 19:00:00",10.17
"2022-09-10 20:00:00",9.18
"2022-09-10 21:00:00",11.84
"2022-09-10 22:00:00",10.75
"2022-09-10 23:00:00",11.86
"2022-09-11 00:00:00",13.44
"2022-09-11 01:00:00",11.72
"2022-09-11 02:00:00",20.81
"2022-09-11 03:00:00",17.67
"2022-09-11 04:00:00",8.39
"2022-09-11 05:00:00",2.91
"2022-09-11 06:00:00",4.07
"2022-09-11 07:00:00",2.61
"2022-09-11 08:00:00",0.3
"2022-09-11 09:00:00",8.18
"2022-09-11 10:00:00",6.73
"2022-09-11 11:00:00",9.08
"2022-09-11 12:00:00",5.13
"2022-09-11 13:00:00",4.63
"2022-09-11 14:00:00",6.12
"2022-09-11 15:00:00",2.69
"2022-09-11 16:00:00",1.87
"2022-09-11 17:00:00",0.1
"2022-09-11 18:00:00",-0.44
"2022-09-11 19:00:00",-0.86
"2022-09-11 20:00:00",-1.15
"2022-09-11 21:00:00",-1.09
"2022-09-11 22:00:00",0.08
"2022-09-11 23:00:00",1.41
"2022-09-12 00:00:00",-0.64
"2022-09-12 01:00:00",-2.39
"2022-09-12 02:00:00",-2.4
"2022-09-12 03:00:00",-2.19,0.03,0.01
"2022-09-12 04:00:00",-2.38,0.04,0.01
"2022-09-12 04:01:00",,,
"2022-09-12 05:00:00",1.29
"2022-09-12 05:01:00",,,
"2022-09-12 06:00:00",12.37
"2022-09-12 07:00:00",25.37
"2022-09-12 08:00:00",33.05
"2022-09-12 09:00:00",27.28,0,0
"2022-09-12 10:00:00",24.01,1.22,0.65
"2022-09-12 10:01:00",,,
"2022-09-12 11:00:00",13.04
"2022-09-12 11:01:00",,,
"2022-09-12 12:00:00",22.78
"2022-09-12 13:00:00",24
"2022-09-12 14:00:00",20.78
"2022-09-12 15:00:00",24.76
"2022-09-12 16:00:00",20.6
"2022-09-12 17:00:00",17.88
"2022-09-12 18:00:00",20.31
"2022-09-12 19:00:00",19.54
"2022-09-12 20:00:00",22.41
"2022-09-12 21:00:00",25.24
"2022-09-12 22:00:00",30.46
"2022-09-12 23:00:00",18.28
"2022-09-13 00:00:00",15.59
"2022-09-13 01:00:00",9.23
"2022-09-13 02:00:00",9.62
"2022-09-13 03:00:00",4.74
"2022-09-13 04:00:00",8.34
"2022-09-13 05:00:00",14.21
"2022-09-13 06:00:00",29.45
"2022-09-13 07:00:00",31.38
"2022-09-13 08:00:00",34.88
"2022-09-13 09:00:00",38.84
"2022-09-13 10:00:00",41.21
"2022-09-13 11:00:00",32.13
"2022-09-13 12:00:00",34.4
"2022-09-13 13:00:00",34.39
