"Date and Time","NO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2021-01-01 00:00:00",8.2,15.57,12.29
"2021-01-01 01:00:00",7.31,11.19,8.44
"2021-01-01 02:00:00",3.33,7.99,5.24
"2021-01-01 03:00:00",2.37,7.19,5.32
"2021-01-01 04:00:00",2.31,6.89,4.57
"2021-01-01 05:00:00",1.92,6.31,3.91
"2021-01-01 06:00:00",3.19,7.64,4.75
"2021-01-01 07:00:00",7.16,6.92,3.78
"2021-01-01 08:00:00",14.39,5.31,2.98
"2021-01-01 09:00:00",19.1,6.02,3.71
"2021-01-01 10:00:00",13.77,6.23,4.16
"2021-01-01 11:00:00",11.82,7.64,5.04
"2021-01-01 12:00:00",8.19,8.45,5.88
"2021-01-01 13:00:00",10.87,8.67,6.14
"2021-01-01 14:00:00",10.56,8.06,5.72
"2021-01-01 15:00:00",10.07,7.21,5.16
"2021-01-01 16:00:00",17.42,10.46,8.34
"2021-01-01 17:00:00",33.91,17.81,15.39
"2021-01-01 18:00:00",37.84,43.24,40.59
"2021-01-01 19:00:00",39.14,45.67,42.67
"2021-01-01 20:00:00",38.01,44.84,42.32
"2021-01-01 21:00:00",35.82,42.61,40.03
"2021-01-01 22:00:00",23.26,27.54,24.89
"2021-01-01 23:00:00",19.76,26.66,23.55
"2021-01-02 00:00:00",21.08,28.53,24.08
"2021-01-02 01:00:00",14.96,18.83,15.66
"2021-01-02 02:00:00",10.88,17.98,14.96
"2021-01-02 03:00:00",11.57,24.91,19.64
"2021-01-02 04:00:00",9.33,15.28,10.94
"2021-01-02 05:00:00",7.38,7.09,4.87
"2021-01-02 06:00:00",7.47,6.66,4.77
"2021-01-02 07:00:00",10.56,6.43,4.65
"2021-01-02 08:00:00",11.23,6.97,5.16
"2021-01-02 09:00:00",13.78,7.58,5.1
"2021-01-02 10:00:00",18.68,6.97,4.38
"2021-01-02 11:00:00",19.65,6.39,4.07
"2021-01-02 12:00:00",21.83,6.17,4.54
"2021-01-02 13:00:00",16.98,7.42,5.79
"2021-01-02 14:00:00",20.52,8.19,6.46
"2021-01-02 15:00:00",19.39,8.2,6.41
"2021-01-02 16:00:00",20.1,15.58,13.47
"2021-01-02 17:00:00",24.08,16.45,14.57
"2021-01-02 18:00:00",24.42,24.56,22.86
"2021-01-02 19:00:00",33.99,25.94,24.08
"2021-01-02 20:00:00",35.25,29.96,27.62
"2021-01-02 21:00:00",47.72,60.25,57.19
"2021-01-02 22:00:00",40.79,47.5,43.77
"2021-01-02 23:00:00",34.12,41,38.38
"2021-01-03 00:00:00",34.59,39.54,36.89
"2021-01-03 01:00:00",30.1,34.39,32.33
"2021-01-03 02:00:00",19.9,25.62,23.74
"2021-01-03 03:00:00",16.04,16.55,15.22
"2021-01-03 04:00:00",13.01,12.4,11.01
"2021-01-03 05:00:00",10.84,9.59,8.26
"2021-01-03 06:00:00",14.26,8.45,6.76
"2021-01-03 07:00:00",18.43,7.86,6.43
"2021-01-03 08:00:00",24.89,7.16,6.13
"2021-01-03 09:00:00",26.13,6.37,5.2
"2021-01-03 10:00:00",26.57,6.8,5.1
"2021-01-03 11:00:00",29.98,9.59,7.52
"2021-01-03 12:00:00",32.91,12.84,10.66
"2021-01-03 13:00:00",28.4,12.09,10.18
"2021-01-03 14:00:00",25.41,10.1,7.7
"2021-01-03 15:00:00",18.99,12.93,10.5
"2021-01-03 16:00:00",21.16,18.98,15.73
"2021-01-03 17:00:00",18.34,20.89,17.03
"2021-01-03 18:00:00",18.18,20.64,18.21
"2021-01-03 19:00:00",25.09,27.88,23.8
"2021-01-03 20:00:00",26.91,36.12,32.17
"2021-01-03 21:00:00",20.58,17.72,13.56
"2021-01-03 22:00:00",20.19,20.47,14.51
"2021-01-03 23:00:00",9.37,8.23,6.14
"2021-01-04 00:00:00",15.52,12.93,10.3
"2021-01-04 01:00:00",6.75,7.37,4.61
"2021-01-04 02:00:00",13.33,5.62,3.67
"2021-01-04 03:00:00",9.31,8.4,4.65
"2021-01-04 04:00:00",6.3,8.27,4.46
"2021-01-04 05:00:00",6.99,7.57,4.03
"2021-01-04 06:00:00",14.28,8.46,3.94
"2021-01-04 07:00:00",36.82,9.27,4.29
"2021-01-04 08:00:00",32.58,10.7,4.24
"2021-01-04 09:00:00",26.31,8.59,4.1
"2021-01-04 10:00:00",19.52,9.13,4.17
"2021-01-04 11:00:00",23.24,12.36,4.88
"2021-01-04 12:00:00",28.95,9.23,4.14
"2021-01-04 13:00:00",31.72,7.98,4.02
"2021-01-04 14:00:00",24.41,12.28,5.97
"2021-01-04 15:00:00",25.38,9.69,5.28
"2021-01-04 16:00:00",31.71,14.06,7.34
"2021-01-04 17:00:00",30.58,11.65,7.08
"2021-01-04 18:00:00",26.14,12.03,7.34
"2021-01-04 19:00:00",32.17,18.26,13
"2021-01-04 20:00:00",16.92,16.29,10.67
"2021-01-04 21:00:00",19.52,17.92,11.53
"2021-01-04 22:00:00",17.84,15.42,11.15
"2021-01-04 23:00:00",17.56,14.28,8.52
"2021-01-05 00:00:00",18.25,11.23,6.81
"2021-01-05 01:00:00",16.8,9.76,5.19
"2021-01-05 02:00:00",10.55,8.25,3.97
"2021-01-05 03:00:00",9.77,7.01,3.14
"2021-01-05 04:00:00",4.25,6.14,2.71
"2021-01-05 05:00:00",4.55,5.04,2.24
"2021-01-05 06:00:00",8.7,3.07,1.59
"2021-01-05 07:00:00",27.63,3.5,1.72
"2021-01-05 08:00:00",32.96,6.89,2.67
"2021-01-05 09:00:00",45.83,10.72,5.14
"2021-01-05 10:00:00",42.23,9.33,4.55
"2021-01-05 11:00:00",27.71,9.84,4.67
"2021-01-05 12:00:00",40.96,12.42,8.3
"2021-01-05 13:00:00",23.34,8.88,4.57
"2021-01-05 14:00:00",27.87,8.52,4.95
"2021-01-05 15:00:00",26.89,9.51,5.15
"2021-01-05 16:00:00",32.32,12.69,7.77
"2021-01-05 17:00:00",40.35,14.69,10.43
"2021-01-05 18:00:00",40.84,21.49,16.58
"2021-01-05 19:00:00",36.02,18.86,14.12
"2021-01-05 20:00:00",38.74,29.89,25.09
"2021-01-05 21:00:00",20.42,22.88,19.37
"2021-01-05 22:00:00",20.19,20.3,17.23
"2021-01-05 23:00:00",19.05,15.73,12.65
"2021-01-06 00:00:00",17.1,17.48,14.11
"2021-01-06 01:00:00",5.46,9.69,7.32
"2021-01-06 02:00:00",5.12,10.36,8.01
"2021-01-06 03:00:00",5.02,8.58,6.23
"2021-01-06 04:00:00",3.76,5.27,3.97
"2021-01-06 05:00:00",3.92,5.74,4.67
"2021-01-06 06:00:00",11.5,8.41,6.13
"2021-01-06 07:00:00",21.96,4.71,3.14
"2021-01-06 08:00:00",33.98,7.1,4.49
"2021-01-06 09:00:00",43.25,10.04,6.58
"2021-01-06 10:00:00",45.18,9.62,5.8
"2021-01-06 11:00:00",43.54,9.37,6.06
"2021-01-06 12:00:00",39.62,8.23,5.62
"2021-01-06 13:00:00",53.61,12.29,7.85
"2021-01-06 14:00:00",45.15,19.03,14.71
"2021-01-06 15:00:00",40.7,19.94,14.52
"2021-01-06 16:00:00",49.93,19.32,14.4
"2021-01-06 17:00:00",49.06,24.2,18.72
"2021-01-06 18:00:00",47.41,29.26,24.45
"2021-01-06 19:00:00",51.49,42.01,37.95
"2021-01-06 20:00:00",45.51,42.87,39.23
"2021-01-06 21:00:00",43.99,43.57,39.15
"2021-01-06 22:00:00",36.88,33.53,31.36
"2021-01-06 23:00:00",38.68,38.88,36.71
"2021-01-07 00:00:00",34.61,46.43,34.11
