,datetime,index,NO<sub>2</sub>,pm10,pm2.5,year,day,hour,month
0,2022-01-01 00:00:00,0.0,0.87,10.64,8.44,2022,1,0,1
1,2022-01-01 01:00:00,1.0,0.1,20.05,13.73,2022,1,1,1
2,2022-01-01 02:00:00,2.0,-1.0,21.74,12.88,2022,1,2,1
3,2022-01-01 03:00:00,3.0,-1.83,23.92,13.5,2022,1,3,1
4,2022-01-01 04:00:00,4.0,-2.37,26.37,15.19,2022,1,4,1
5,2022-01-01 05:00:00,5.0,-2.61,23.77,14.51,2022,1,5,1
6,2022-01-01 06:00:00,6.0,-2.42,22.96,14.39,2022,1,6,1
7,2022-01-01 07:00:00,7.0,-1.88,22.14,14.43,2022,1,7,1
8,2022-01-01 08:00:00,8.0,-2.46,17.82,11.84,2022,1,8,1
9,2022-01-01 09:00:00,9.0,-2.4,20.87,12.75,2022,1,9,1
10,2022-01-01 10:00:00,10.0,-1.36,21.32,13.36,2022,1,10,1
11,2022-01-01 11:00:00,11.0,-1.29,23.83,14.55,2022,1,11,1
12,2022-01-01 12:00:00,12.0,-0.59,21.76,13.3,2022,1,12,1
13,2022-01-01 13:00:00,13.0,-1.08,20.58,12.44,2022,1,13,1
14,2022-01-01 14:00:00,14.0,-0.85,17.73,11.33,2022,1,14,1
15,2022-01-01 15:00:00,15.0,-0.62,18.39,11.59,2022,1,15,1
16,2022-01-01 16:00:00,16.0,0.55,18.52,11.98,2022,1,16,1
17,2022-01-01 17:00:00,17.0,-0.33,16.54,11.44,2022,1,17,1
18,2022-01-01 18:00:00,18.0,-0.39,15.47,11.03,2022,1,18,1
19,2022-01-01 19:00:00,19.0,0.21,15.3,10.57,2022,1,19,1
20,2022-01-01 20:00:00,20.0,1.19,14.04,9.56,2022,1,20,1
21,2022-01-01 21:00:00,21.0,2.32,17.28,11.42,2022,1,21,1
22,2022-01-01 22:00:00,22.0,0.52,18.06,11.46,2022,1,22,1
23,2022-01-01 23:00:00,23.0,-0.61,16.67,10.67,2022,1,23,1
24,2022-01-02 00:00:00,24.0,-0.84,16.43,10.24,2022,2,0,1
25,2022-01-02 01:00:00,25.0,-0.89,18.24,11.85,2022,2,1,1
26,2022-01-02 02:00:00,26.0,-2.35,16.05,9.31,2022,2,2,1
27,2022-01-02 03:00:00,27.0,-2.84,12.54,7.74,2022,2,3,1
28,2022-01-02 04:00:00,28.0,-2.98,9.22,5.75,2022,2,4,1
29,2022-01-02 05:00:00,29.0,-3.1,10.38,6.09,2022,2,5,1
30,2022-01-02 06:00:00,30.0,-1.96,9.65,5.76,2022,2,6,1
31,2022-01-02 07:00:00,31.0,-2.44,8.91,5.22,2022,2,7,1
32,2022-01-02 08:00:00,32.0,-2.44,8.48,4.74,2022,2,8,1
33,2022-01-02 09:00:00,33.0,-0.88,8.47,5.01,2022,2,9,1
34,2022-01-02 10:00:00,34.0,-1.23,9.33,5.47,2022,2,10,1
35,2022-01-02 11:00:00,35.0,0.03,5.73,3.53,2022,2,11,1
36,2022-01-02 12:00:00,36.0,-0.28,4.21,2.49,2022,2,12,1
37,2022-01-02 13:00:00,37.0,-0.13,4.61,2.64,2022,2,13,1
38,2022-01-02 14:00:00,38.0,-0.28,8.15,4.46,2022,2,14,1
39,2022-01-02 15:00:00,39.0,0.62,8.62,5.21,2022,2,15,1
40,2022-01-02 16:00:00,40.0,3.11,7.72,4.67,2022,2,16,1
41,2022-01-02 17:00:00,41.0,1.67,10.51,6.74,2022,2,17,1
42,2022-01-02 18:00:00,42.0,0.54,13.08,8.24,2022,2,18,1
43,2022-01-02 19:00:00,43.0,1.76,13.83,8.71,2022,2,19,1
44,2022-01-02 20:00:00,44.0,1.39,13.29,8.4,2022,2,20,1
45,2022-01-02 21:00:00,45.0,0.65,13.76,9.15,2022,2,21,1
46,2022-01-02 22:00:00,46.0,-0.8,14.71,9.02,2022,2,22,1
47,2022-01-02 23:00:00,47.0,-1.51,14.73,9.52,2022,2,23,1
48,2022-01-03 00:00:00,48.0,-2.51,12.18,7.67,2022,3,0,1
49,2022-01-03 01:00:00,49.0,-2.95,13.27,8.13,2022,3,1,1
50,2022-01-03 02:00:00,50.0,-3.45,11.65,6.96,2022,3,2,1
51,2022-01-03 03:00:00,51.0,-3.32,12.18,7.34,2022,3,3,1
52,2022-01-03 04:00:00,52.0,-3.5,11.38,6.97,2022,3,4,1
53,2022-01-03 05:00:00,53.0,-3.22,11.42,6.76,2022,3,5,1
54,2022-01-03 06:00:00,54.0,-2.63,11.54,7.05,2022,3,6,1
55,2022-01-03 07:00:00,55.0,-1.56,12.64,7.31,2022,3,7,1
56,2022-01-03 08:00:00,56.0,-1.91,12.98,7.59,2022,3,8,1
57,2022-01-03 09:00:00,57.0,-1.19,11.78,7.11,2022,3,9,1
58,2022-01-03 10:00:00,58.0,-0.17,12.64,7.27,2022,3,10,1
59,2022-01-03 11:00:00,59.0,-0.24,10.36,6.17,2022,3,11,1
60,2022-01-03 12:00:00,60.0,1.11,11.22,6.74,2022,3,12,1
61,2022-01-03 13:00:00,61.0,4.48,13.33,7.11,2022,3,13,1
62,2022-01-03 14:00:00,62.0,4.71,11.37,6.38,2022,3,14,1
63,2022-01-03 15:00:00,63.0,3.66,10.41,5.99,2022,3,15,1
64,2022-01-03 16:00:00,64.0,3.65,10.82,6.56,2022,3,16,1
65,2022-01-03 17:00:00,65.0,5.84,13.6,9.59,2022,3,17,1
66,2022-01-03 18:00:00,66.0,6.86,16.21,11.36,2022,3,18,1
67,2022-01-03 19:00:00,67.0,9.01,15.19,10.59,2022,3,19,1
68,2022-01-03 20:00:00,68.0,9.17,6.58,5.73,2022,3,20,1
69,2022-01-03 21:00:00,69.0,5.06,5.52,4.54,2022,3,21,1
70,2022-01-03 22:00:00,70.0,6.37,7.49,5.76,2022,3,22,1
71,2022-01-03 23:00:00,71.0,4.02,8.97,4.97,2022,3,23,1
72,2022-01-04 00:00:00,72.0,6.26,8.21,4.58,2022,4,0,1
73,2022-01-04 01:00:00,73.0,2.3,10.38,5.78,2022,4,1,1
74,2022-01-04 02:00:00,74.0,-0.21,8.31,5.0,2022,4,2,1
75,2022-01-04 03:00:00,75.0,-1.24,10.26,5.4,2022,4,3,1
76,2022-01-04 04:00:00,76.0,-2.1,8.83,4.4,2022,4,4,1
77,2022-01-04 05:00:00,77.0,-1.14,8.02,4.27,2022,4,5,1
78,2022-01-04 06:00:00,78.0,7.94,7.3,4.15,2022,4,6,1
79,2022-01-04 07:00:00,79.0,15.53,6.49,4.03,2022,4,7,1
80,2022-01-04 08:00:00,80.0,38.77,7.96,4.54,2022,4,8,1
81,2022-01-04 09:00:00,81.0,30.78,9.97,5.62,2022,4,9,1
82,2022-01-04 10:00:00,82.0,26.28,15.98,8.99,2022,4,10,1
83,2022-01-04 11:00:00,83.0,25.5,17.71,9.5,2022,4,11,1
84,2022-01-04 12:00:00,84.0,21.73,21.66,9.87,2022,4,12,1
85,2022-01-04 13:00:00,85.0,14.66,14.55,7.4,2022,4,13,1
86,2022-01-04 14:00:00,86.0,15.86,15.12,7.75,2022,4,14,1
87,2022-01-04 15:00:00,87.0,15.57,15.65,8.66,2022,4,15,1
88,2022-01-04 16:00:00,88.0,24.23,17.45,10.85,2022,4,16,1
89,2022-01-04 17:00:00,89.0,26.39,17.06,11.43,2022,4,17,1
90,2022-01-04 18:00:00,90.0,29.2,16.51,11.85,2022,4,18,1
91,2022-01-04 19:00:00,91.0,23.47,17.35,13.49,2022,4,19,1
92,2022-01-04 20:00:00,92.0,17.73,20.08,15.66,2022,4,20,1
93,2022-01-04 21:00:00,93.0,15.39,17.01,13.52,2022,4,21,1
94,2022-01-04 22:00:00,94.0,11.88,15.99,11.46,2022,4,22,1
95,2022-01-04 23:00:00,95.0,8.51,15.42,12.17,2022,4,23,1
96,2022-01-05 00:00:00,96.0,4.67,13.75,10.46,2022,5,0,1
97,2022-01-05 01:00:00,97.0,7.38,13.81,9.07,2022,5,1,1
98,2022-01-05 02:00:00,98.0,6.65,12.49,8.53,2022,5,2,1
99,2022-01-05 03:00:00,99.0,3.28,14.42,8.89,2022,5,3,1
100,2022-01-05 04:00:00,100.0,6.62,12.08,7.71,2022,5,4,1
101,2022-01-05 05:00:00,101.0,8.6,12.11,7.12,2022,5,5,1
102,2022-01-05 06:00:00,102.0,16.05,12.16,6.49,2022,5,6,1
103,2022-01-05 07:00:00,103.0,28.77,13.59,6.43,2022,5,7,1
104,2022-01-05 08:00:00,104.0,39.0,13.79,6.4,2022,5,8,1
105,2022-01-05 09:00:00,105.0,41.27,15.49,7.41,2022,5,9,1
106,2022-01-05 10:00:00,106.0,33.51,18.09,10.04,2022,5,10,1
107,2022-01-05 11:00:00,107.0,32.33,19.9,10.79,2022,5,11,1
108,2022-01-05 12:00:00,108.0,39.61,21.76,10.2,2022,5,12,1
109,2022-01-05 13:00:00,109.0,35.51,27.36,11.13,2022,5,13,1
110,2022-01-05 14:00:00,,,11.026719181868437,5.942949143173024,2022,5,14,1
111,2022-01-05 15:00:00,,,11.026719181868437,5.942949143173024,2022,5,15,1
112,2022-01-05 16:00:00,,,11.026719181868437,5.942949143173024,2022,5,16,1
113,2022-01-05 17:00:00,,,11.026719181868437,5.942949143173024,2022,5,17,1
