"Date and Time","NO<sub>2</sub>","SO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-05-01 01:00:00",7.72,-0.93,11.47,10.58
"2022-05-01 02:00:00",14.5,-0.97,10.17,9.29
"2022-05-01 03:00:00",1.8,-1.1,10.25,9.12
"2022-05-01 04:00:00",1.25,-1.03,11.14,9.98
"2022-05-01 05:00:00",1.63,-0.98,11.21,9.68
"2022-05-01 06:00:00",2.27,-1.22,11.51,9.89
"2022-05-01 07:00:00",6.85,-1.07,12.3,10.48
"2022-05-01 08:00:00",7.03,-0.94,13.64,11.22
"2022-05-01 09:00:00",12.95,-0.85,10.97,9.4
"2022-05-01 10:00:00",30.43,-0.28,10.25,8.72
"2022-05-01 11:00:00",8.68,-0.95,10.95,8.88
"2022-05-01 12:00:00",12.6,-0.93,5.85,4.85
"2022-05-01 13:00:00",10.93,-0.95,2.02,1.01
"2022-05-01 14:00:00",12.27,-0.74,2.14,1.38
"2022-05-01 15:00:00",13.56,-0.75,2.23,1.65
"2022-05-01 16:00:00",9.44,-0.99,1.99,1.59
"2022-05-01 17:00:00",9.39,-0.85,2.05,1.4
"2022-05-01 18:00:00",30.15,-0.62,3.5,2.02
"2022-05-01 19:00:00",33.12,-0.4,7.56,3.4
"2022-05-01 20:00:00",45.01,-0.4,10.33,6.87
"2022-05-01 21:00:00",43.2,-0.24,13.52,7.99
"2022-05-01 22:00:00",47.31,-0.24,18.6,11.03
"2022-05-01 23:00:00",47.71,-0.49,21.66,16.64
"2022-05-02 00:00:00",41.37,-0.09,25.73,23.49
"2022-05-02 01:00:00",39.06,-0.01,27.45,24.46
"2022-05-02 02:00:00",36.62,-0.38,23.46,20.56
"2022-05-02 03:00:00",15.3,-0.88,13.79,12.22
"2022-05-02 04:00:00",17.79,-0.72,16.11,14.99
"2022-05-02 05:00:00",16.13,-0.87,15.9,15.25
"2022-05-02 06:00:00",11.17,-1.01,19.99,19.11
"2022-05-02 07:00:00",5.6,-0.85,12.85,12.37
"2022-05-02 08:00:00",10.42,-0.6,6.47,5.48
"2022-05-02 09:00:00",7.76,-0.72,7.2,6.45
"2022-05-02 10:00:00",7.05,-1.06,8.28,7.37
"2022-05-02 11:00:00",8.27,-0.85,6.86,4.86
"2022-05-02 12:00:00",1.98,-1.04,3.99,3.2
"2022-05-02 13:00:00",3.12,-0.97,5.92,4.99
"2022-05-02 14:00:00",6.53,-1.04,9.59,7.47
"2022-05-02 15:00:00",27.21,-0.69,12.78,9.61
"2022-05-02 16:00:00",34.33,-0.44,8.82,7.16
"2022-05-02 17:00:00",46.07,-0.22,8.46,6.38
"2022-05-02 18:00:00",48.1,-0.22,9.74,6.72
"2022-05-02 19:00:00",16.85,-0.7,7.13,5.4
"2022-05-02 20:00:00",43.46,-0.62,7.76,6.83
"2022-05-02 21:00:00",37.12,-0.75,10.21,7.07
"2022-05-02 22:00:00",17.27,-1.16,7.27,6.4
"2022-05-02 23:00:00",12.56,-0.86,16.17,7.66
"2022-05-03 00:00:00",29,-0.88,8.49,6.83
"2022-05-03 01:00:00",16.2,-0.83,7.39,6.15
"2022-05-03 02:00:00",12.23,-0.99,10.22,8.81
"2022-05-03 03:00:00",6.05,-1.01,10.34,9.52
"2022-05-03 04:00:00",29.95,-0.77,9.11,7.96
"2022-05-03 05:00:00",33.32,-0.91,8.95,8.43
"2022-05-03 06:00:00",46.67,-0.66,9.32,8.84
"2022-05-03 07:00:00",61.92,1.17,9.52,8.78
"2022-05-03 08:00:00",57.94,2.05,13.33,9.63
"2022-05-03 09:00:00",49.57,0.73,12.74,10.42
"2022-05-03 10:00:00",42.93,0.41,14.26,10.44
"2022-05-03 11:00:00",22.77,-0.58,28.46,12.7
"2022-05-03 12:00:00",37.59,-0.09,31.04,11.62
"2022-05-03 13:00:00",42.97,0.81,26.62,12.83
"2022-05-03 14:00:00",48.23,1.11,34.55,14.54
"2022-05-03 15:00:00",50.87,1.76,23.28,12.65
"2022-05-03 16:00:00",47.46,1.1,25.76,14.23
"2022-05-03 17:00:00",48.91,1.78,21.18,12.54
