,datetime,rain,temp,wetb,dewpt,vappr,rhum,msl,no2,so2,pm10,pm2.5
0,2022-01-01 00:00:00,0.0,13.1,11.4,9.8,12.1,80.0,1007.3,22.0,2.12,7.31,4.08
1,2022-01-01 01:00:00,0.0,13.9,11.2,8.5,11.1,70.0,1005.8,17.49,2.05,20.61,12.7
2,2022-01-01 02:00:00,0.0,14.0,11.0,8.1,10.8,67.0,1005.0,13.28,2.29,30.0,16.92
3,2022-01-01 03:00:00,0.0,14.6,11.4,8.4,11.0,66.0,1003.9,18.56,2.79,31.65,17.93
4,2022-01-01 04:00:00,0.0,14.9,12.1,9.5,11.9,70.0,1002.7,13.83,2.07,27.55,15.19
5,2022-01-01 05:00:00,0.1,14.3,12.5,10.8,13.0,79.0,1001.7,4.04,1.91,29.32,16.46
6,2022-01-01 06:00:00,0.0,14.6,12.3,10.3,12.5,75.0,1001.1,0.68,1.14,19.93,12.89
7,2022-01-01 07:00:00,0.0,14.5,12.3,10.2,12.5,75.0,1001.8,1.4,1.06,23.2,14.2
8,2022-01-01 08:00:00,0.0,13.2,10.8,8.3,10.9,72.0,1003.1,4.73,1.05,18.51,11.94
9,2022-01-01 09:00:00,0.0,12.5,10.0,7.4,10.3,71.0,1004.3,12.27,1.46,21.62,12.93
10,2022-01-01 10:00:00,0.0,12.4,10.2,7.9,10.6,73.0,1004.7,18.36,2.791010719754977,23.76,12.71
11,2022-01-01 11:00:00,0.0,12.9,10.6,8.4,11.0,74.0,1005.2,12.45,2.791010719754977,25.9,13.91
12,2022-01-01 12:00:00,0.0,13.1,10.5,8.0,10.7,71.0,1005.0,8.74,2.791010719754977,25.48,13.48
13,2022-01-01 13:00:00,0.0,13.2,10.6,8.0,10.7,70.0,1005.0,8.89,2.791010719754977,25.64,12.86
14,2022-01-01 14:00:00,0.0,13.1,10.4,7.7,10.5,69.0,1004.6,11.98,2.791010719754977,25.86,12.38
15,2022-01-01 15:00:00,0.0,12.7,10.3,7.9,10.6,72.0,1004.5,13.03,2.791010719754977,20.83,11.2
16,2022-01-01 16:00:00,0.0,12.4,10.3,8.2,10.9,75.0,1004.6,9.87,2.791010719754977,19.16,10.64
17,2022-01-01 17:00:00,0.0,12.3,10.2,8.1,10.8,75.0,1005.0,13.03,2.791010719754977,17.15,10.28
18,2022-01-01 18:00:00,0.0,12.1,10.1,8.1,10.8,76.0,1005.1,11.31,2.791010719754977,17.05,10.2
19,2022-01-01 19:00:00,0.2,11.0,9.5,7.8,10.6,80.0,1005.5,15.03,2.791010719754977,17.37,10.49
20,2022-01-01 20:00:00,0.0,10.5,8.9,7.1,10.1,79.0,1005.5,15.89,2.791010719754977,17.3,9.67
21,2022-01-01 21:00:00,0.0,10.2,8.7,6.9,10.0,80.0,1006.1,9.24,5.55,16.69,8.99
22,2022-01-01 22:00:00,0.0,9.6,8.4,7.0,10.0,84.0,1006.2,6.67,3.69,15.45,8.76
23,2022-01-01 23:00:00,0.0,10.1,8.8,7.4,10.3,83.0,1005.7,9.76,2.78,17.81,9.81
24,2022-01-02 00:00:00,0.0,9.8,8.6,7.2,10.2,84.0,1005.5,11.92,2.25,19.63,11.1
25,2022-01-02 01:00:00,0.0,9.6,8.3,6.9,9.9,83.0,1004.8,14.29,1.89,15.86,9.18
26,2022-01-02 02:00:00,0.0,9.5,8.4,7.0,10.0,84.0,1003.8,7.68,1.47,15.77,8.68
27,2022-01-02 03:00:00,0.0,9.1,8.0,6.6,9.7,84.0,1003.6,6.06,1.25,13.88,8.03
28,2022-01-02 04:00:00,0.0,9.3,8.0,6.4,9.6,82.0,1003.0,6.68,1.0,10.88,6.31
29,2022-01-02 05:00:00,0.0,9.3,7.9,6.1,9.4,80.0,1002.6,4.76,0.84,10.98,6.0
30,2022-01-02 06:00:00,0.0,9.3,7.8,5.9,9.3,79.0,1002.0,6.04,0.77,11.02,5.88
31,2022-01-02 07:00:00,0.0,9.5,7.8,5.8,9.2,77.0,1001.9,8.99,0.79,10.43,5.34
32,2022-01-02 08:00:00,0.0,9.6,7.9,5.9,9.3,77.0,1001.8,19.04,0.85,10.67,5.18
33,2022-01-02 09:00:00,0.0,9.7,8.1,6.2,9.5,78.0,1001.8,16.7,1.54,10.2,5.1
34,2022-01-02 10:00:00,0.0,10.5,8.6,6.3,9.6,75.0,1001.1,29.8,2.791010719754977,11.29,5.69
35,2022-01-02 11:00:00,0.0,10.2,7.9,5.1,8.8,70.0,1001.1,25.11,2.791010719754977,10.68,5.36
36,2022-01-02 12:00:00,0.0,10.3,8.0,5.3,8.9,71.0,1000.7,23.02,2.791010719754977,5.6,2.37
37,2022-01-02 13:00:00,0.0,10.7,8.2,5.3,8.9,69.0,1000.3,16.93,2.791010719754977,6.98,2.86
38,2022-01-02 14:00:00,0.0,10.7,8.4,5.7,9.2,71.0,1000.1,14.87,2.791010719754977,10.45,4.08
39,2022-01-02 15:00:00,0.1,9.9,8.2,6.4,9.6,78.0,1000.7,11.39,5.22,12.03,5.35
40,2022-01-02 16:00:00,0.0,9.6,7.7,5.4,8.9,74.0,1000.8,9.07,2.79,8.5,4.82
41,2022-01-02 17:00:00,0.0,9.4,7.6,5.3,8.9,75.0,1000.9,9.39,1.75,10.72,5.75
42,2022-01-02 18:00:00,0.0,9.6,7.6,5.3,8.9,74.0,1001.2,10.78,1.56,14.98,8.16
43,2022-01-02 19:00:00,0.0,9.3,7.3,4.8,8.6,73.0,1001.6,7.35,1.44,18.12,9.25
44,2022-01-02 20:00:00,0.0,9.1,7.2,4.8,8.6,74.0,1001.6,21.16,1.79,17.26,9.72
45,2022-01-02 21:00:00,0.0,9.3,7.5,5.5,9.0,77.0,1002.4,11.18,1.52,17.27,9.26
46,2022-01-02 22:00:00,0.0,8.7,6.8,4.3,8.3,74.0,1002.9,10.93,1.28,15.91,8.89
47,2022-01-02 23:00:00,0.0,8.4,6.7,4.5,8.5,76.0,1002.9,10.45,1.2,18.65,9.82
48,2022-01-03 00:00:00,0.0,8.6,6.8,4.5,8.4,75.0,1003.0,9.91,0.83,15.53,8.62
49,2022-01-03 01:00:00,0.0,8.4,6.6,4.3,8.3,75.0,1002.6,9.07,0.78,14.41,8.32
50,2022-01-03 02:00:00,0.0,8.2,6.3,3.8,8.0,74.0,1002.5,7.72,0.73,14.64,8.12
51,2022-01-03 03:00:00,0.0,8.1,6.2,3.8,8.0,74.0,1002.4,7.43,0.63,14.91,7.86
52,2022-01-03 04:00:00,0.0,7.9,6.1,3.7,8.0,74.0,1001.8,9.59,0.61,14.98,8.04
53,2022-01-03 05:00:00,0.0,7.9,6.1,3.8,8.0,75.0,1001.6,6.26,0.59,13.15,7.06
54,2022-01-03 06:00:00,0.0,7.8,6.0,3.7,7.9,74.0,1001.2,6.05,0.57,14.86,7.35
55,2022-01-03 07:00:00,0.0,8.1,6.2,3.8,8.0,74.0,1001.1,5.24,0.35,17.01,7.83
56,2022-01-03 08:00:00,0.0,8.1,6.4,4.2,8.3,76.0,1001.0,9.42,0.25,18.59,8.56
57,2022-01-03 09:00:00,0.0,7.8,6.2,4.0,8.1,76.0,1001.5,16.59,0.7,15.64,7.85
58,2022-01-03 10:00:00,0.0,8.2,6.5,4.2,8.2,75.0,1001.7,12.5,0.7,15.5,7.85
59,2022-01-03 11:00:00,0.0,8.8,6.8,4.4,8.4,74.0,1001.5,11.47,0.82,13.55,6.95
60,2022-01-03 12:00:00,0.0,9.2,7.3,5.1,8.8,75.0,1001.2,9.56,0.87,12.94,6.6
61,2022-01-03 13:00:00,0.0,9.6,7.8,5.7,9.1,76.0,1001.1,10.45,0.89,14.69,7.49
62,2022-01-03 14:00:00,0.0,9.2,7.5,5.3,8.9,76.0,1000.5,14.75,1.46,14.81,7.0
63,2022-01-03 15:00:00,0.0,9.7,7.6,5.1,8.8,73.0,1000.1,15.77,1.86,12.66,6.25
64,2022-01-03 16:00:00,0.0,9.3,7.3,4.8,8.6,73.0,999.8,20.58,1.54,11.36,5.74
65,2022-01-03 17:00:00,0.0,9.3,7.2,4.5,8.4,72.0,999.6,25.17,1.62,15.3,7.28
66,2022-01-03 18:00:00,0.0,8.7,6.7,4.2,8.3,73.0,999.3,40.11,2.41,15.49,8.12
67,2022-01-03 19:00:00,0.0,8.9,6.9,4.5,8.4,73.0,999.7,40.12,2.791010719754977,16.55,8.83
68,2022-01-03 20:00:00,0.8,4.3,3.8,3.2,7.7,92.0,1000.9,7.47,2.69,8.55,5.49
69,2022-01-03 21:00:00,0.4,3.0,2.6,2.1,7.1,93.0,1001.7,0.5,0.67,4.76,3.49
70,2022-01-03 22:00:00,0.2,2.9,2.5,1.8,6.9,92.0,1002.5,2.08,0.44,5.94,3.65
71,2022-01-03 23:00:00,0.1,3.1,2.0,0.2,6.2,81.0,1003.1,0.46,0.47,9.19,4.56
72,2022-01-04 00:00:00,0.0,3.6,2.2,-0.3,6.0,75.0,1003.5,-1.59,0.52,8.08,3.73
73,2022-01-04 01:00:00,0.0,2.8,1.8,0.1,6.2,82.0,1003.6,-1.41,0.67,10.53,4.27
74,2022-01-04 02:00:00,0.0,2.4,1.4,-0.3,6.0,82.0,1003.8,0.85,0.39,9.11,4.65
75,2022-01-04 03:00:00,0.0,2.0,1.3,-0.1,6.1,86.0,1004.2,1.67,0.49,10.25,5.28
76,2022-01-04 04:00:00,0.0,1.5,0.8,-0.3,6.0,87.0,1004.4,-0.22,0.28,10.14,4.98
