,datetime,temp,wetb,dewpt,vappr,pm2.5,pm10
0,2021-10-01 00:00:00,2.2,1.7,0.9,6.5,1.89,3.15
1,2021-10-01 01:00:00,2.1,1.9,1.5,6.8,1.53,2.61
2,2021-10-01 02:00:00,2.3,2.1,1.8,7.0,1.15,2.1
3,2021-10-01 03:00:00,2.5,2.3,1.9,7.0,0.89,1.8
4,2021-10-01 04:00:00,2.6,2.4,2.1,7.1,0.24,0.81
5,2021-10-01 05:00:00,2.9,2.6,2.3,7.2,0.12,0.46
6,2021-10-01 06:00:00,3.0,2.7,2.4,7.3,0.14,0.65
7,2021-10-01 07:00:00,3.4,3.1,2.8,7.5,0.12,0.64
8,2021-10-01 08:00:00,3.3,3.2,3.0,7.6,0.18,0.83
9,2021-10-01 09:00:00,3.1,3.0,2.8,7.5,0.39,1.18
10,2021-10-01 10:00:00,3.4,3.2,3.0,7.6,0.25,0.89
11,2021-10-01 11:00:00,3.8,3.7,3.4,7.8,0.19,0.81
12,2021-10-01 12:00:00,4.0,3.7,3.3,7.7,0.19,0.78
13,2021-10-01 13:00:00,4.4,4.1,3.7,7.9,0.25,0.83
14,2021-10-01 14:00:00,4.6,4.3,3.9,8.1,0.41,1.08
15,2021-10-01 15:00:00,4.5,4.3,3.9,8.1,0.31,0.94
16,2021-10-01 16:00:00,4.7,4.4,3.9,8.1,0.45,1.03
17,2021-10-01 17:00:00,4.8,4.5,4.1,8.2,1.09,1.76
18,2021-10-01 18:00:00,5.4,5.1,4.6,8.5,2.97,3.63
19,2021-10-01 19:00:00,5.4,4.9,4.2,8.3,3.76,4.64
20,2021-10-01 20:00:00,5.8,5.1,4.1,8.2,2.23,2.99
21,2021-10-01 21:00:00,5.8,4.9,3.8,8.0,1.35,2.06
22,2021-10-01 22:00:00,5.5,4.7,3.6,7.9,0.64,1.2
23,2021-10-01 23:00:00,5.7,4.9,3.7,8.0,0.25,0.7
24,2021-11-01 00:00:00,5.6,4.8,3.7,8.0,0.32,0.83
25,2021-11-01 01:00:00,5.4,4.8,4.0,8.2,0.19,0.7
26,2021-11-01 02:00:00,5.2,4.8,4.2,8.2,0.16,0.7
27,2021-11-01 03:00:00,5.5,4.9,4.0,8.1,0.15,0.74
28,2021-11-01 04:00:00,5.7,5.1,4.2,8.3,0.12,0.67
29,2021-11-01 05:00:00,5.9,5.2,4.3,8.3,0.08,0.43
30,2021-11-01 06:00:00,6.4,5.6,4.4,8.4,0.08,0.34
31,2021-11-01 07:00:00,6.3,5.5,4.5,8.4,0.1,0.35
32,2021-11-01 08:00:00,6.6,5.8,4.9,8.6,0.13,0.44
33,2021-11-01 09:00:00,6.8,5.9,4.8,8.6,0.53,0.92
34,2021-11-01 10:00:00,7.3,6.4,5.3,8.9,0.26,0.62
35,2021-11-01 11:00:00,7.8,6.9,5.8,9.2,0.21,0.55
36,2021-11-01 12:00:00,8.6,7.6,6.5,9.7,0.41,0.83
