,datetime,rain,temp,wetb,dewpt,vappr,rhum,msl
0,2021-01-01 00:00:00,0.0,4.7,3.9,2.8,7.5,88.0,1012.9
1,2021-01-01 01:00:00,0.0,4.6,3.9,2.7,7.4,87.0,1013.4
2,2021-01-01 02:00:00,0.0,4.3,3.7,2.7,7.4,89.0,1013.8
3,2021-01-01 03:00:00,0.0,4.1,3.5,2.6,7.4,89.0,1014.3
4,2021-01-01 04:00:00,0.0,3.6,3.0,2.1,7.1,89.0,1014.6
5,2021-01-01 05:00:00,0.0,3.6,2.9,1.7,6.9,87.0,1014.8
6,2021-01-01 06:00:00,0.0,2.0,1.6,0.8,6.5,91.0,1015.1
7,2021-01-01 07:00:00,0.0,1.3,1.0,0.4,6.3,93.0,1015.7
8,2021-01-01 08:00:00,0.0,0.9,0.6,0.2,6.2,95.0,1016.2
9,2021-01-01 09:00:00,0.0,0.3,0.1,-0.4,6.0,95.0,1016.8
10,2021-01-01 10:00:00,0.0,0.7,0.5,0.2,6.2,96.0,1017.1
11,2021-01-01 11:00:00,0.0,2.3,1.9,1.3,6.7,93.0,1017.4
12,2021-01-01 12:00:00,0.0,3.1,2.5,1.5,6.8,88.0,1017.4
13,2021-01-01 13:00:00,0.0,4.1,3.3,2.0,7.1,86.0,1017.2
14,2021-01-01 14:00:00,0.0,4.6,3.6,2.0,7.1,83.0,1017.0
15,2021-01-01 15:00:00,0.0,4.7,3.7,2.1,7.1,83.0,1017.4
16,2021-01-01 16:00:00,0.0,3.5,2.8,1.6,6.9,87.0,1018.0
17,2021-01-01 17:00:00,0.0,2.0,1.6,0.9,6.5,92.0,1018.4
18,2021-01-01 18:00:00,0.0,1.0,0.7,0.0,6.1,93.0,1018.8
19,2021-01-01 19:00:00,0.0,0.2,0.1,-0.3,6.0,96.0,1019.3
20,2021-01-01 20:00:00,0.0,0.2,0.0,-0.3,6.0,96.0,1019.6
21,2021-01-01 21:00:00,0.0,-0.3,-0.5,-0.9,5.7,95.0,1020.2
22,2021-01-01 22:00:00,0.0,-0.3,-0.6,-1.1,5.7,94.0,1020.5
23,2021-01-01 23:00:00,0.0,-0.8,-1.0,-1.6,5.4,94.0,1020.7
24,2021-02-01 00:00:00,0.0,-1.1,-1.3,-1.8,5.3,94.0,1020.7
25,2021-02-01 01:00:00,0.0,-1.1,-1.3,-1.8,5.4,94.0,1021.0
26,2021-02-01 02:00:00,0.0,-1.4,-1.6,-2.0,5.3,95.0,1021.3
27,2021-02-01 03:00:00,0.0,-1.6,-1.8,-2.2,5.2,95.0,1021.4
28,2021-02-01 04:00:00,0.0,-0.9,-1.1,-1.6,5.4,95.0,1021.0
29,2021-02-01 05:00:00,0.0,-0.1,-0.4,-1.1,5.7,93.0,1020.9
30,2021-02-01 06:00:00,0.0,0.4,0.1,-0.6,5.9,93.0,1020.4
31,2021-02-01 07:00:00,0.0,0.6,0.3,-0.3,6.0,93.0,1020.4
32,2021-02-01 08:00:00,0.0,0.6,0.3,-0.1,6.1,95.0,1020.4
33,2021-02-01 09:00:00,0.0,0.9,0.6,0.3,6.2,95.0,1020.6
34,2021-02-01 10:00:00,0.0,1.2,0.9,0.5,6.3,95.0,1020.9
35,2021-02-01 11:00:00,0.0,1.7,1.5,1.0,6.6,95.0,1021.1
36,2021-02-01 12:00:00,0.0,2.7,2.3,1.8,6.9,93.0,1020.7
37,2021-02-01 13:00:00,0.0,3.5,3.1,2.4,7.3,92.0,1020.4
38,2021-02-01 14:00:00,0.1,3.6,3.1,2.4,7.2,91.0,1020.4
39,2021-02-01 15:00:00,0.0,3.3,2.7,1.7,6.9,89.0,1020.6
40,2021-02-01 16:00:00,0.0,2.8,2.2,1.3,6.7,90.0,1021.1
41,2021-02-01 17:00:00,0.0,1.8,1.4,0.7,6.4,92.0,1021.5
42,2021-02-01 18:00:00,0.0,1.0,0.6,-0.2,6.0,91.0,1022.1
43,2021-02-01 19:00:00,0.0,0.6,0.1,-0.7,5.8,91.0,1022.4
44,2021-02-01 20:00:00,0.0,0.9,0.3,-0.7,5.8,89.0,1022.6
45,2021-02-01 21:00:00,0.0,-0.7,-1.1,-1.9,5.3,91.0,1023.1
46,2021-02-01 22:00:00,0.0,-1.3,-1.6,-2.3,5.2,93.0,1023.4
47,2021-02-01 23:00:00,0.0,-1.1,-1.4,-2.0,5.3,93.0,1023.7
48,2021-03-01 00:00:00,0.0,-1.6,-1.8,-2.4,5.1,94.0,1023.8
49,2021-03-01 01:00:00,0.0,-1.4,-1.7,-2.4,5.1,93.0,1023.8
50,2021-03-01 02:00:00,0.0,-1.0,-1.4,-2.2,5.2,91.0,1023.9
51,2021-03-01 03:00:00,0.0,-1.7,-2.0,-2.5,5.1,94.0,1024.0
52,2021-03-01 04:00:00,0.0,0.3,-0.1,-0.8,5.7,92.0,1023.9
53,2021-03-01 05:00:00,0.0,0.6,0.0,-1.1,5.6,88.0,1023.8
54,2021-03-01 06:00:00,0.0,0.2,-0.3,-1.4,5.5,89.0,1023.8
55,2021-03-01 07:00:00,0.0,-0.8,-1.2,-2.1,5.2,90.0,1024.2
56,2021-03-01 08:00:00,0.0,-0.5,-1.0,-1.9,5.3,90.0,1024.4
57,2021-03-01 09:00:00,0.0,-1.0,-1.4,-2.2,5.2,91.0,1024.7
58,2021-03-01 10:00:00,0.0,-1.8,-2.1,-2.9,4.9,92.0,1025.1
59,2021-03-01 11:00:00,0.0,-0.1,-0.5,-1.4,5.5,90.0,1025.1
60,2021-03-01 12:00:00,0.0,1.4,0.7,-0.4,5.9,87.0,1024.6
61,2021-03-01 13:00:00,0.0,2.3,1.4,-0.2,6.0,83.0,1024.1
62,2021-03-01 14:00:00,0.0,3.1,1.9,-0.1,6.1,79.0,1023.8
63,2021-03-01 15:00:00,0.0,3.2,2.1,0.1,6.2,79.0,1023.8
64,2021-03-01 16:00:00,0.0,3.0,2.2,0.9,6.5,85.0,1023.9
65,2021-03-01 17:00:00,0.3,2.9,2.2,1.0,6.6,87.0,1024.0
66,2021-03-01 18:00:00,0.3,2.4,1.9,1.1,6.6,90.0,1024.4
67,2021-03-01 19:00:00,0.2,2.5,2.2,1.5,6.8,93.0,1024.8
68,2021-03-01 20:00:00,0.1,4.4,3.2,1.4,6.7,80.0,1025.1
69,2021-03-01 21:00:00,0.0,4.3,3.1,1.1,6.6,79.0,1025.5
70,2021-03-01 22:00:00,0.2,3.7,2.6,0.8,6.5,81.0,1026.0
71,2021-03-01 23:00:00,0.2,3.1,2.5,1.5,6.8,89.0,1026.0
72,2021-04-01 00:00:00,1.0,2.9,2.2,1.2,6.6,88.0,1026.1
73,2021-04-01 01:00:00,0.6,3.1,2.5,1.5,6.8,89.0,1026.3
74,2021-04-01 02:00:00,0.1,2.7,2.3,1.8,6.9,93.0,1026.3
75,2021-04-01 03:00:00,0.6,3.3,2.7,1.8,7.0,89.0,1026.3
76,2021-04-01 04:00:00,0.3,3.3,2.4,0.9,6.5,84.0,1026.5
77,2021-04-01 05:00:00,0.0,3.0,2.2,0.9,6.5,86.0,1026.5
78,2021-04-01 06:00:00,0.0,2.9,2.0,0.6,6.4,84.0,1026.8
