"Date and Time","NO<sub>2</sub>","O<sub>3</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-05-01 01:00:00",23.65,54.89,11.67,10.41
"2022-05-01 02:00:00",18.78,61.21,9.65,8.56
"2022-05-01 03:00:00",15.67,61.61,10.32,9.13
"2022-05-01 04:00:00",13.68,63.3,11.02,9.44
"2022-05-01 05:00:00",9.02,72.43,10.88,9.07
"2022-05-01 06:00:00",7.79,74.46,10.41,9.06
"2022-05-01 07:00:00",8.67,70.23,11.58,9.82
"2022-05-01 08:00:00",12.01,62.61,12.21,10.46
"2022-05-01 09:00:00",16.99,57.31,9.51,8.32
"2022-05-01 10:00:00",18.92,53.61,9.19,7.64
"2022-05-01 11:00:00",30.96,39.98,10.63,8.27
"2022-05-01 12:00:00",45.92,24.33,6.39,4.96
"2022-05-01 13:00:00",41.54,32.27,3.48,2.15
"2022-05-01 14:00:00",54.84,26.02,3.87,2.75
"2022-05-01 15:00:00",40.31,34.66,4.15,2.94
"2022-05-01 16:00:00",40.3,35.93,4.02,2.78
"2022-05-01 17:00:00",37.97,36.89,4.07,2.52
"2022-05-01 18:00:00",36.52,38.71,8.13,3.15
"2022-05-01 19:00:00",37.45,34.51,8.17,3.71
"2022-05-01 20:00:00",46.09,24.86,9.36,5.12
"2022-05-01 21:00:00",50.6,13.94,9.87,6.11
"2022-05-01 22:00:00",56.62,9.49,10.04,7.24
"2022-05-01 23:00:00",53.71,7.01,11.6,8.22
"2022-05-02 00:00:00",54.35,5.09,11.88,8.76
"2022-05-02 01:00:00",49.91,7.17,12.15,10.08
"2022-05-02 02:00:00",45.06,-2.05,20.83,17.96
"2022-05-02 03:00:00",45.83,-1.56,19.84,16.13
"2022-05-02 04:00:00",34.25,9.15,17.32,14.99
"2022-05-02 05:00:00",32.98,16.35,20,17.83
"2022-05-02 06:00:00",36.17,7.8,23.52,21.6
"2022-05-02 07:00:00",31.41,12.75,16.45,15.42
"2022-05-02 08:00:00",33.28,16.78,16.06,14.54
"2022-05-02 09:00:00",57.75,4.66,14.37,11.96
"2022-05-02 10:00:00",36.63,22.78,12.56,10.08
"2022-05-02 11:00:00",30.52,31.54,11.42,7.98
"2022-05-02 12:00:00",26.11,42.48,8.49,6
"2022-05-02 13:00:00",36.89,33.3,11.7,7.5
"2022-05-02 14:00:00",49.32,20.22,17.54,9.75
"2022-05-02 15:00:00",33.81,33.88,15.17,9.92
"2022-05-02 16:00:00",42.07,29.3,12.49,8.8
"2022-05-02 17:00:00",59.24,18.08,15.49,8.51
"2022-05-02 18:00:00",36.46,41.15,12.73,7.77
"2022-05-02 19:00:00",61.32,12.91,11.1,7.88
"2022-05-02 20:00:00",73.16,5.76,11.67,8.5
"2022-05-02 21:00:00",66.48,7.57,14.3,8.95
"2022-05-02 22:00:00",57.39,6.77,17.13,12.25
"2022-05-02 23:00:00",69.93,-2.42,13.86,10.31
"2022-05-03 00:00:00",57.57,7.86,12.12,9.35
"2022-05-03 01:00:00",37.37,19.32,10.42,8.85
"2022-05-03 02:00:00",38.67,13.22,12.46,10.89
"2022-05-03 03:00:00",46.94,3,14.69,12.86
"2022-05-03 04:00:00",46.43,5.83,12.91,11.28
"2022-05-03 05:00:00",57.66,-2.86,11.4,9.79
"2022-05-03 06:00:00",56.18,-1.47,12.5,11.66
"2022-05-03 07:00:00",58.36,4.78,11.98,10.27
"2022-05-03 08:00:00",50.26,11.59,11.55,10.52
"2022-05-03 09:00:00",56.13,5.63,18.03,12.32
"2022-05-03 10:00:00",55.89,5.56,26.39,13.44
"2022-05-03 11:00:00",42.28,16.5,21.09,12.54
"2022-05-03 12:00:00",52.5,11.39,23.02,12.24
"2022-05-03 13:00:00",52.6,16.13,18.82,9.73
"2022-05-03 14:00:00",44.43,14.02,20.51,10.7
"2022-05-03 15:00:00",44.42,16.86,24.34,10.4
"2022-05-03 16:00:00",50.74,16.01,18.84,9.99
"2022-05-03 17:00:00",49.33,14.7,18.78,9.89
"2022-05-03 18:00:00",69.03,3.9,24.41,10.35
"2022-05-03 19:00:00",66.49,7.52,22.09,9.03
"2022-05-03 20:00:00",52.24,10.86,18.58,8.71
"2022-05-03 21:00:00",42.62,14.58,16.08,8.69
"2022-05-03 22:00:00",38.2,15.84,14.28,8.38
"2022-05-03 23:00:00",33.4,25.34,10.11,5.72
"2022-05-04 00:00:00",35.04,23.5,10.89,5.43
"2022-05-04 01:00:00",24.58,31.32,8.01,5.02
"2022-05-04 02:00:00",9.63,46.89,5.85,3.5
"2022-05-04 03:00:00",10.43,43.99,5.53,3.31
"2022-05-04 04:00:00",7.76,45.93,3.31,2
"2022-05-04 05:00:00",6.57,43.68,3.34,1.8
"2022-05-04 06:00:00",15.76,34.53,3.57,1.65
"2022-05-04 07:00:00",31.91,23.73,5.78,2.04
"2022-05-04 08:00:00",51.76,16.56,10.08,3.06
"2022-05-04 09:00:00",44.28,23.22,18.85,5.94
"2022-05-04 10:00:00",45.1,26.43,22.01,5.35
"2022-05-04 11:00:00",44.29,29.46,16.06,3.87
"2022-05-04 12:00:00",41.58,30.76,27.85,5.89
"2022-05-04 13:00:00",41.03,33.85,27.37,6.74
"2022-05-04 14:00:00",34.47,47.6,24.2,8.02
"2022-05-04 15:00:00",33.27,46.15,27.36,8.65
"2022-05-04 16:00:00",44.19,40.4,25.71,8.79
