,datetime,rain,temp,wetb,dewpt,vappr,rhum,msl,no2,o3,pm10,pm2.5
0,2022-01-01 00:00:00,0.0,13.1,11.4,9.8,12.1,80.0,1007.3,14.53,41.67,14.32595162404976,6.551401068015739
1,2022-01-01 01:00:00,0.0,13.9,11.2,8.5,11.1,70.0,1005.8,10.2,44.99,14.32595162404976,6.551401068015739
2,2022-01-01 02:00:00,0.0,14.0,11.0,8.1,10.8,67.0,1005.0,7.72,49.98,14.32595162404976,6.551401068015739
3,2022-01-01 03:00:00,0.0,14.6,11.4,8.4,11.0,66.0,1003.9,6.73,52.82,14.32595162404976,6.551401068015739
4,2022-01-01 04:00:00,0.0,14.9,12.1,9.5,11.9,70.0,1002.7,2.87,57.84,14.32595162404976,6.551401068015739
5,2022-01-01 05:00:00,0.1,14.3,12.5,10.8,13.0,79.0,1001.7,1.76,64.57,14.32595162404976,6.551401068015739
6,2022-01-01 06:00:00,0.0,14.6,12.3,10.3,12.5,75.0,1001.1,1.69,69.25,14.32595162404976,6.551401068015739
7,2022-01-01 07:00:00,0.0,14.5,12.3,10.2,12.5,75.0,1001.8,1.51,75.27,14.32595162404976,6.551401068015739
8,2022-01-01 08:00:00,0.0,13.2,10.8,8.3,10.9,72.0,1003.1,3.63,77.14,14.32595162404976,6.551401068015739
9,2022-01-01 09:00:00,0.0,12.5,10.0,7.4,10.3,71.0,1004.3,5.75,78.8,14.32595162404976,6.551401068015739
10,2022-01-01 10:00:00,0.0,12.4,10.2,7.9,10.6,73.0,1004.7,5.36,78.72,14.32595162404976,6.551401068015739
11,2022-01-01 11:00:00,0.0,12.9,10.6,8.4,11.0,74.0,1005.2,4.42,79.8,14.32595162404976,6.551401068015739
12,2022-01-01 12:00:00,0.0,13.1,10.5,8.0,10.7,71.0,1005.0,4.4,80.12,14.32595162404976,6.551401068015739
13,2022-01-01 13:00:00,0.0,13.2,10.6,8.0,10.7,70.0,1005.0,6.73,76.7,14.32595162404976,6.551401068015739
14,2022-01-01 14:00:00,0.0,13.1,10.4,7.7,10.5,69.0,1004.6,8.25,74.52,14.32595162404976,6.551401068015739
15,2022-01-01 15:00:00,0.0,12.7,10.3,7.9,10.6,72.0,1004.5,8.33,72.9,14.32595162404976,6.551401068015739
16,2022-01-01 16:00:00,0.0,12.4,10.3,8.2,10.9,75.0,1004.6,8.31,73.68,14.32595162404976,6.551401068015739
17,2022-01-01 17:00:00,0.0,12.3,10.2,8.1,10.8,75.0,1005.0,10.77,73.15,14.32595162404976,6.551401068015739
18,2022-01-01 18:00:00,0.0,12.1,10.1,8.1,10.8,76.0,1005.1,10.31,70.72,14.32595162404976,6.551401068015739
19,2022-01-01 19:00:00,0.2,11.0,9.5,7.8,10.6,80.0,1005.5,17.5,63.16,14.32595162404976,6.551401068015739
20,2022-01-01 20:00:00,0.0,10.5,8.9,7.1,10.1,79.0,1005.5,16.93,61.68,14.32595162404976,6.551401068015739
21,2022-01-01 21:00:00,0.0,10.2,8.7,6.9,10.0,80.0,1006.1,35.07,47.37,14.32595162404976,6.551401068015739
