"Date and Time","NO<sub>2</sub>","SO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-09-01 01:00:00",18.87,0.7,9.84,4.96
"2022-09-01 02:00:00",19.38,0.74,10.85,4.66
"2022-09-01 03:00:00",27.77,0.83,14.8,5.96
"2022-09-01 04:00:00",16.78,0.77,19.84,7.46
"2022-09-01 05:00:00",17.28,0.88,19.51,7.4
"2022-09-01 06:00:00",22.45,0.85,20.33,7.47
"2022-09-01 07:00:00",41.29,1.44,25.45,8.88
"2022-09-01 08:00:00",35.14,1.56,26.43,8.71
"2022-09-01 09:00:00",35.61,1.67,27.81,8.14
"2022-09-01 10:00:00",34.41,2.1,28.57,8.5
"2022-09-01 11:00:00",31.78,3.41,38.06,9.3
"2022-09-01 12:00:00",32.3,4.67,30.08,8.17
"2022-09-01 13:00:00",29.13,3.57,19.58,6.51
"2022-09-01 14:00:00",26.01,2.43,21.63,7.15
"2022-09-01 15:00:00",33.66,3.07,24.83,7.29
"2022-09-01 16:00:00",27.1,2.86,15.37,5.93
"2022-09-01 17:00:00",30.7,1.54,12.7,4.88
"2022-09-01 18:00:00",35.3,1.08,10.02,4.5
"2022-09-01 19:00:00",22.38,0.79,7.79,3.9
"2022-09-01 20:00:00",16.58,2.35,6.93,3.49
"2022-09-01 21:00:00",16.69,3.03,7.6,3.56
"2022-09-01 22:00:00",17.78,1.58,8.9,4.02
"2022-09-01 23:00:00",19.08,1.15,8.04,4.15
"2022-09-02 00:00:00",14.09,0.82,7.13,3.86
"2022-09-02 01:00:00",13.61,0.78,8.07,4.04
"2022-09-02 02:00:00",12.99,0.82,8.48,3.95
"2022-09-02 03:00:00",12.88,0.78,7.97,4.01
"2022-09-02 04:00:00",14.47,0.59,7.8,4.37
"2022-09-02 05:00:00",13.45,0.74,9.81,4.79
"2022-09-02 06:00:00",16.11,0.73,9.52,4.86
"2022-09-02 07:00:00",25.22,0.74,10.34,5.47
"2022-09-02 08:00:00",39.77,1.17,16.7,7.08
"2022-09-02 09:00:00",45.34,1.88,26.88,9.79
"2022-09-02 10:00:00",41.42,1.57,33,10.85
"2022-09-02 11:00:00",44.93,2.09,31.36,10.22
"2022-09-02 12:00:00",31.62,1.36,21.09,7.31
"2022-09-02 13:00:00",35.2,1.67,47.38,11.55
"2022-09-02 14:00:00",26.57,2.07,47.43,11.84
"2022-09-02 15:00:00",33.95,1.91,52.89,12.85
"2022-09-02 16:00:00",40.18,1.32,28.84,10.75
"2022-09-02 17:00:00",27.04,1.35,16.91,9.05
"2022-09-02 18:00:00",31.81,1.19,24.55,8.5
"2022-09-02 19:00:00",22.38,1.01,26.5,7.61
