,datetime,rain,temp,wetb,dewpt,vappr,rhum,msl,no2,so2,pm10,pm2.5
0,2022-01-01 00:00:00,0.0,13.1,11.4,9.8,12.1,80.0,1007.3,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
1,2022-01-01 01:00:00,0.0,13.9,11.2,8.5,11.1,70.0,1005.8,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
2,2022-01-01 02:00:00,0.0,14.0,11.0,8.1,10.8,67.0,1005.0,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
3,2022-01-01 03:00:00,0.0,14.6,11.4,8.4,11.0,66.0,1003.9,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
4,2022-01-01 04:00:00,0.0,14.9,12.1,9.5,11.9,70.0,1002.7,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
5,2022-01-01 05:00:00,0.1,14.3,12.5,10.8,13.0,79.0,1001.7,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
6,2022-01-01 06:00:00,0.0,14.6,12.3,10.3,12.5,75.0,1001.1,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
7,2022-01-01 07:00:00,0.0,14.5,12.3,10.2,12.5,75.0,1001.8,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
8,2022-01-01 08:00:00,0.0,13.2,10.8,8.3,10.9,72.0,1003.1,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
9,2022-01-01 09:00:00,0.0,12.5,10.0,7.4,10.3,71.0,1004.3,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
10,2022-01-01 10:00:00,0.0,12.4,10.2,7.9,10.6,73.0,1004.7,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
11,2022-01-01 11:00:00,0.0,12.9,10.6,8.4,11.0,74.0,1005.2,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
12,2022-01-01 12:00:00,0.0,13.1,10.5,8.0,10.7,71.0,1005.0,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
13,2022-01-01 13:00:00,0.0,13.2,10.6,8.0,10.7,70.0,1005.0,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
14,2022-01-01 14:00:00,0.0,13.1,10.4,7.7,10.5,69.0,1004.6,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
15,2022-01-01 15:00:00,0.0,12.7,10.3,7.9,10.6,72.0,1004.5,4.59,0.12,16.94,11.28
16,2022-01-01 16:00:00,0.0,12.4,10.3,8.2,10.9,75.0,1004.6,5.05,0.0,16.31,10.87
17,2022-01-01 17:00:00,0.0,12.3,10.2,8.1,10.8,75.0,1005.0,5.28,-0.09,14.15,9.86
18,2022-01-01 18:00:00,0.0,12.1,10.1,8.1,10.8,76.0,1005.1,5.51,-0.06,14.71,10.35
19,2022-01-01 19:00:00,0.2,11.0,9.5,7.8,10.6,80.0,1005.5,5.35,0.09,14.59,10.32
20,2022-01-01 20:00:00,0.0,10.5,8.9,7.1,10.1,79.0,1005.5,6.05,0.09,15.83,10.59
21,2022-01-01 21:00:00,0.0,10.2,8.7,6.9,10.0,80.0,1006.1,6.13,0.12,15.24,9.55
22,2022-01-01 22:00:00,0.0,9.6,8.4,7.0,10.0,84.0,1006.2,5.46,0.07,15.32,10.22
23,2022-01-01 23:00:00,0.0,10.1,8.8,7.4,10.3,83.0,1005.7,5.8,-0.01,14.89,10.25
24,2022-01-02 00:00:00,0.0,9.8,8.6,7.2,10.2,84.0,1005.5,6.16,0.12,16.31,11.05
25,2022-01-02 01:00:00,0.0,9.6,8.3,6.9,9.9,83.0,1004.8,3.71,0.18,13.87,8.83
26,2022-01-02 02:00:00,0.0,9.5,8.4,7.0,10.0,84.0,1003.8,2.55,0.06,13.66,8.53
27,2022-01-02 03:00:00,0.0,9.1,8.0,6.6,9.7,84.0,1003.6,2.07,0.12,12.0,7.45
28,2022-01-02 04:00:00,0.0,9.3,8.0,6.4,9.6,82.0,1003.0,2.38,0.15,8.98,5.58
29,2022-01-02 05:00:00,0.0,9.3,7.9,6.1,9.4,80.0,1002.6,2.19,0.16,9.48,5.8
30,2022-01-02 06:00:00,0.0,9.3,7.8,5.9,9.3,79.0,1002.0,2.09,0.12,9.51,5.69
31,2022-01-02 07:00:00,0.0,9.5,7.8,5.8,9.2,77.0,1001.9,2.25,0.21,8.15,4.86
32,2022-01-02 08:00:00,0.0,9.6,7.9,5.9,9.3,77.0,1001.8,2.75,0.11,7.5,4.55
33,2022-01-02 09:00:00,0.0,9.7,8.1,6.2,9.5,78.0,1001.8,3.17,0.1,7.72,4.6
34,2022-01-02 10:00:00,0.0,10.5,8.6,6.3,9.6,75.0,1001.1,3.17,0.18,9.78,6.23
35,2022-01-02 11:00:00,0.0,10.2,7.9,5.1,8.8,70.0,1001.1,3.76,0.14,7.48,4.96
36,2022-01-02 12:00:00,0.0,10.3,8.0,5.3,8.9,71.0,1000.7,4.18,0.3,3.7,2.14
37,2022-01-02 13:00:00,0.0,10.7,8.2,5.3,8.9,69.0,1000.3,4.1,0.31,4.61,2.78
38,2022-01-02 14:00:00,0.0,10.7,8.4,5.7,9.2,71.0,1000.1,4.71,0.63,6.95,4.07
39,2022-01-02 15:00:00,0.1,9.9,8.2,6.4,9.6,78.0,1000.7,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
40,2022-01-02 16:00:00,0.0,9.6,7.7,5.4,8.9,74.0,1000.8,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
41,2022-01-02 17:00:00,0.0,9.4,7.6,5.3,8.9,75.0,1000.9,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
42,2022-01-02 18:00:00,0.0,9.6,7.6,5.3,8.9,74.0,1001.2,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
43,2022-01-02 19:00:00,0.0,9.3,7.3,4.8,8.6,73.0,1001.6,22.523675762439808,2.272108262108262,15.033563218390805,8.306144366197184
