,datetime,temp,wetb,dewpt,vappr,pm2.5(ug/m3),pm10(ug/m3)
0,2021-10-01 00:00:00,2.2,1.7,0.9,6.5,1.76,2.83
1,2021-10-01 01:00:00,2.1,1.9,1.5,6.8,1.41,2.34
2,2021-10-01 02:00:00,2.3,2.1,1.8,7.0,1.14,2.0
3,2021-10-01 03:00:00,2.5,2.3,1.9,7.0,0.79,1.52
4,2021-10-01 04:00:00,2.6,2.4,2.1,7.1,0.2,0.67
5,2021-10-01 05:00:00,2.9,2.6,2.3,7.2,0.09,0.44
6,2021-10-01 06:00:00,3.0,2.7,2.4,7.3,0.18,0.62
7,2021-10-01 07:00:00,3.4,3.1,2.8,7.5,0.11,0.47
8,2021-10-01 08:00:00,3.3,3.2,3.0,7.6,0.24,0.65
9,2021-10-01 09:00:00,3.1,3.0,2.8,7.5,0.28,0.72
10,2021-10-01 10:00:00,3.4,3.2,3.0,7.6,0.15,0.59
11,2021-10-01 11:00:00,3.8,3.7,3.4,7.8,0.17,0.56
12,2021-10-01 12:00:00,4.0,3.7,3.3,7.7,0.17,0.6
13,2021-10-01 13:00:00,4.4,4.1,3.7,7.9,0.26,0.71
14,2021-10-01 14:00:00,4.6,4.3,3.9,8.1,0.34,0.81
15,2021-10-01 15:00:00,4.5,4.3,3.9,8.1,0.34,0.87
16,2021-10-01 16:00:00,4.7,4.4,3.9,8.1,1.01,1.56
17,2021-10-01 17:00:00,4.8,4.5,4.1,8.2,1.26,1.94
18,2021-10-01 18:00:00,5.4,5.1,4.6,8.5,1.73,2.32
19,2021-10-01 19:00:00,5.4,4.9,4.2,8.3,3.39,4.17
20,2021-10-01 20:00:00,5.8,5.1,4.1,8.2,1.88,2.61
21,2021-10-01 21:00:00,5.8,4.9,3.8,8.0,0.93,1.56
22,2021-10-01 22:00:00,5.5,4.7,3.6,7.9,0.33,0.74
23,2021-10-01 23:00:00,5.7,4.9,3.7,8.0,0.15,0.52
24,2021-11-01 00:00:00,5.6,4.8,3.7,8.0,0.34,0.89
25,2021-11-01 01:00:00,5.4,4.8,4.0,8.2,0.22,0.75
26,2021-11-01 02:00:00,5.2,4.8,4.2,8.2,0.2,0.74
27,2021-11-01 03:00:00,5.5,4.9,4.0,8.1,0.16,0.71
28,2021-11-01 04:00:00,5.7,5.1,4.2,8.3,0.13,0.55
29,2021-11-01 05:00:00,5.9,5.2,4.3,8.3,0.1,0.48
30,2021-11-01 06:00:00,6.4,5.6,4.4,8.4,0.09,0.34
31,2021-11-01 07:00:00,6.3,5.5,4.5,8.4,0.1,0.45
32,2021-11-01 08:00:00,6.6,5.8,4.9,8.6,0.17,0.49
33,2021-11-01 09:00:00,6.8,5.9,4.8,8.6,0.61,0.99
34,2021-11-01 10:00:00,7.3,6.4,5.3,8.9,0.33,0.73
35,2021-11-01 11:00:00,7.8,6.9,5.8,9.2,0.47,0.84
36,2021-11-01 12:00:00,8.6,7.6,6.5,9.7,0.61,0.99
37,2021-11-01 13:00:00,8.6,8.0,7.2,10.2,0.54,0.92
38,2021-11-01 14:00:00,9.2,8.4,7.5,10.3,3.87,4.74
39,2021-11-01 15:00:00,9.1,8.5,8.0,10.7,4.55,5.33
40,2021-11-01 16:00:00,9.0,8.6,8.2,10.9,9.51,10.91
41,2021-11-01 17:00:00,8.9,8.7,8.4,11.0,21.25,24.81
42,2021-11-01 18:00:00,9.2,8.9,8.7,11.2,4.44,5.12
43,2021-11-01 19:00:00,9.4,9.1,8.7,11.3,5.29,6.07
44,2021-11-01 20:00:00,9.5,9.1,8.7,11.3,4.33,5.08
45,2021-11-01 21:00:00,9.5,9.1,8.7,11.3,3.45,4.12
46,2021-11-01 22:00:00,9.4,9.0,8.7,11.2,2.62,3.21
47,2021-11-01 23:00:00,9.3,9.1,8.8,11.3,2.2,2.81
48,2021-12-01 00:00:00,9.4,9.1,8.9,11.4,0.16,0.35
49,2021-12-01 01:00:00,9.5,9.2,8.9,11.4,0.09,0.28
50,2021-12-01 02:00:00,9.4,9.2,8.9,11.4,0.13,0.47
51,2021-12-01 03:00:00,9.3,9.1,8.9,11.4,0.4,1.1
52,2021-12-01 04:00:00,9.1,8.8,8.6,11.1,0.84,1.85
53,2021-12-01 05:00:00,7.5,7.2,6.8,9.9,0.7,1.45
54,2021-12-01 06:00:00,7.1,6.9,6.6,9.8,0.62,1.37
55,2021-12-01 07:00:00,7.0,6.7,6.4,9.6,0.73,1.45
56,2021-12-01 08:00:00,5.8,5.5,5.1,8.8,3.52,4.56
57,2021-12-01 09:00:00,5.4,5.1,4.7,8.5,2.76,3.8
58,2021-12-01 10:00:00,5.4,5.1,4.6,8.5,3.15,4.44
59,2021-12-01 11:00:00,6.0,5.3,4.5,8.4,2.81,4.12
60,2021-12-01 12:00:00,6.0,4.7,2.8,7.5,1.55,2.71
61,2021-12-01 13:00:00,6.5,4.8,2.3,7.2,0.29,0.7
62,2021-12-01 14:00:00,6.7,4.7,1.8,7.0,1.43,1.8
63,2021-12-01 15:00:00,6.3,4.9,3.0,7.6,1.9,2.34
64,2021-12-01 16:00:00,6.2,4.7,2.7,7.4,6.68,7.71
65,2021-12-01 17:00:00,5.9,4.6,2.6,7.4,8.8,10.25
66,2021-12-01 18:00:00,5.7,4.6,3.1,7.6,11.81,13.51
67,2021-12-01 19:00:00,5.6,4.7,3.3,7.8,6.35,7.44
68,2021-12-01 20:00:00,5.6,4.9,4.0,8.1,8.24,9.53
69,2021-12-01 21:00:00,5.5,5.1,4.6,8.5,9.54,11.24
70,2021-12-01 22:00:00,5.5,5.3,5.0,8.7,5.06,6.06
71,2021-12-01 23:00:00,5.6,5.4,5.1,8.8,4.23,5.43
72,2021-10-02 00:00:00,1.6,-0.3,-4.1,4.5,0.09,0.42
73,2021-10-02 01:00:00,0.1,-0.5,-1.6,5.4,0.1,0.38
74,2021-10-02 02:00:00,0.6,-0.4,-2.4,5.1,0.07,0.19
75,2021-10-02 03:00:00,1.4,-0.4,-4.3,4.4,0.14,0.32
76,2021-10-02 04:00:00,1.7,-0.5,-5.1,4.2,0.08,0.22
77,2021-10-02 05:00:00,1.7,-0.9,-6.7,3.7,0.1,0.29
78,2021-10-02 06:00:00,1.6,-0.7,-5.8,4.0,0.22,0.53
79,2021-10-02 07:00:00,1.2,-0.7,-4.6,4.3,0.23,0.57
80,2021-10-02 08:00:00,1.9,-0.9,-7.3,3.5,0.1,0.21
81,2021-10-02 09:00:00,1.8,-0.8,-7.1,3.6,0.1,0.29
82,2021-10-02 10:00:00,1.8,0.0,-3.7,4.6,0.1,0.3
83,2021-10-02 11:00:00,2.5,0.7,-2.7,5.0,0.13,0.33
84,2021-10-02 12:00:00,2.7,-0.2,-6.4,3.8,0.08,0.17
85,2021-10-02 13:00:00,3.1,0.6,-4.7,4.3,0.12,0.24
86,2021-10-02 14:00:00,3.3,0.5,-5.3,4.1,0.12,0.23
87,2021-10-02 15:00:00,3.2,0.3,-5.9,3.9,0.19,0.41
88,2021-10-02 16:00:00,2.3,-0.4,-6.7,3.7,0.22,0.42
89,2021-10-02 17:00:00,2.2,-0.2,-5.6,4.0,0.7,1.03
90,2021-10-02 18:00:00,2.1,-0.3,-5.6,4.0,1.55,2.11
91,2021-10-02 19:00:00,1.9,-0.9,-7.5,3.5,4.46,5.17
92,2021-10-02 20:00:00,1.7,-1.0,-7.2,3.5,6.63,7.59
93,2021-10-02 21:00:00,1.7,-0.8,-6.5,3.7,6.38,7.45
94,2021-10-02 22:00:00,1.8,-0.9,-7.3,3.5,1.22,1.72
95,2021-10-02 23:00:00,2.2,-0.4,-6.1,3.9,0.35,0.74
96,2021-11-02 00:00:00,1.8,-0.9,-7.2,3.6,1.1,1.51
97,2021-11-02 01:00:00,1.3,-1.2,-7.3,3.5,0.5,0.85
98,2021-11-02 02:00:00,1.2,-1.3,-7.2,3.6,0.42,0.76
99,2021-11-02 03:00:00,0.9,-1.3,-6.4,3.8,0.46,0.82
100,2021-11-02 04:00:00,1.0,-1.1,-5.8,4.0,0.59,1.0
101,2021-11-02 05:00:00,1.2,-1.0,-6.1,3.9,0.91,1.37
102,2021-11-02 06:00:00,1.0,-1.3,-6.4,3.8,1.69,2.22
103,2021-11-02 07:00:00,1.2,-1.0,-5.8,4.0,2.55,3.18
104,2021-11-02 08:00:00,1.0,-1.0,-5.6,4.0,4.74,5.45
105,2021-11-02 09:00:00,1.4,-0.5,-4.7,4.3,2.83,3.31
106,2021-11-02 10:00:00,1.6,-0.2,-4.0,4.6,3.97,4.62
107,2021-11-02 11:00:00,2.0,0.0,-3.9,4.6,6.18,7.06
108,2021-11-02 12:00:00,2.3,0.0,-4.6,4.3,5.5,6.21
109,2021-11-02 13:00:00,2.1,0.0,-4.5,4.4,6.33,7.14
110,2021-11-02 14:00:00,2.1,-0.2,-4.9,4.2,6.42,7.31
111,2021-11-02 15:00:00,2.0,-0.1,-4.3,4.5,6.16,7.22
112,2021-11-02 16:00:00,1.9,-0.2,-4.4,4.4,24.81,30.11
113,2021-11-02 17:00:00,1.9,-0.1,-4.3,4.4,15.9,17.78
114,2021-11-02 18:00:00,2.0,0.0,-4.2,4.5,15.15,17.05
115,2021-11-02 19:00:00,2.0,0.0,-4.1,4.5,15.23,16.86
116,2021-11-02 20:00:00,2.0,-0.1,-4.2,4.5,16.52,18.32
117,2021-11-02 21:00:00,1.9,-0.1,-4.4,4.4,11.24,12.56
118,2021-11-02 22:00:00,1.9,-0.2,-4.5,4.4,7.51,8.49
119,2021-11-02 23:00:00,1.8,-0.3,-4.6,4.3,6.69,7.5
120,2021-12-02 00:00:00,1.9,-0.2,-4.3,4.4,5.1,6.32
121,2021-12-02 01:00:00,1.9,0.0,-3.9,4.6,3.13,4.04
122,2021-12-02 02:00:00,2.0,0.1,-3.6,4.7,2.25,3.04
