,datetime,pm2.5(ug/m3),pm10(ug/m3)
0,2021-10-01 00:00:00,1.76,2.83
1,2021-10-01 01:00:00,1.41,2.34
2,2021-10-01 02:00:00,1.14,2.0
3,2021-10-01 03:00:00,0.79,1.52
4,2021-10-01 04:00:00,0.2,0.67
5,2021-10-01 05:00:00,0.09,0.44
6,2021-10-01 06:00:00,0.18,0.62
7,2021-10-01 07:00:00,0.11,0.47
8,2021-10-01 08:00:00,0.24,0.65
9,2021-10-01 09:00:00,0.28,0.72
10,2021-10-01 10:00:00,0.15,0.59
11,2021-10-01 11:00:00,0.17,0.56
12,2021-10-01 12:00:00,0.17,0.6
13,2021-10-01 13:00:00,0.26,0.71
14,2021-10-01 14:00:00,0.34,0.81
15,2021-10-01 15:00:00,0.34,0.87
16,2021-10-01 16:00:00,1.01,1.56
17,2021-10-01 17:00:00,1.26,1.94
18,2021-10-01 18:00:00,1.73,2.32
19,2021-10-01 19:00:00,3.39,4.17
20,2021-10-01 20:00:00,1.88,2.61
21,2021-10-01 21:00:00,0.93,1.56
22,2021-10-01 22:00:00,0.33,0.74
23,2021-10-01 23:00:00,0.15,0.52
24,2021-10-02 00:00:00,0.09,0.42
25,2021-10-02 01:00:00,0.1,0.38
26,2021-10-02 02:00:00,0.07,0.19
27,2021-10-02 03:00:00,0.14,0.32
28,2021-10-02 04:00:00,0.08,0.22
29,2021-10-02 05:00:00,0.1,0.29
30,2021-10-02 06:00:00,0.22,0.53
31,2021-10-02 07:00:00,0.23,0.57
32,2021-10-02 08:00:00,0.1,0.21
33,2021-10-02 09:00:00,0.1,0.29
34,2021-10-02 10:00:00,0.1,0.3
35,2021-10-02 11:00:00,0.13,0.33
36,2021-10-02 12:00:00,0.08,0.17
37,2021-10-02 13:00:00,0.12,0.24
38,2021-10-02 14:00:00,0.12,0.23
39,2021-10-02 15:00:00,0.19,0.41
40,2021-10-02 16:00:00,0.22,0.42
41,2021-10-02 17:00:00,0.7,1.03
42,2021-10-02 18:00:00,1.55,2.11
43,2021-10-02 19:00:00,4.46,5.17
44,2021-10-02 20:00:00,6.63,7.59
45,2021-10-02 21:00:00,6.38,7.45
46,2021-10-02 22:00:00,1.22,1.72
47,2021-10-02 23:00:00,0.35,0.74
48,2021-10-03 00:00:00,0.18,0.54
49,2021-10-03 01:00:00,0.13,0.49
50,2021-10-03 02:00:00,0.1,0.38
51,2021-10-03 03:00:00,0.1,0.3
52,2021-10-03 04:00:00,0.1,0.37
53,2021-10-03 05:00:00,0.1,0.46
54,2021-10-03 06:00:00,0.1,0.34
55,2021-10-03 07:00:00,0.1,0.52
56,2021-10-03 08:00:00,0.1,0.48
57,2021-10-03 09:00:00,1.11,1.63
58,2021-10-03 10:00:00,0.23,0.61
59,2021-10-03 11:00:00,0.09,0.37
60,2021-10-03 12:00:00,0.08,0.22
61,2021-10-03 13:00:00,0.09,0.28
62,2021-10-03 14:00:00,1.18,1.54
63,2021-10-03 15:00:00,0.39,0.71
64,2021-10-03 16:00:00,1.4,1.85
65,2021-10-03 17:00:00,2.6,3.26
66,2021-10-03 18:00:00,2.24,2.96
67,2021-10-03 19:00:00,1.83,2.42
68,2021-10-03 20:00:00,2.07,2.67
69,2021-10-03 21:00:00,1.09,1.62
70,2021-10-03 22:00:00,1.16,1.7
71,2021-10-03 23:00:00,0.84,1.33
72,2021-10-04 00:00:00,0.66,1.07
73,2021-10-04 01:00:00,0.53,0.96
74,2021-10-04 02:00:00,0.29,0.62
75,2021-10-04 03:00:00,0.18,0.48
76,2021-10-04 04:00:00,0.2,0.51
77,2021-10-04 05:00:00,0.1,0.39
78,2021-10-04 06:00:00,0.15,0.51
79,2021-10-04 07:00:00,0.14,0.46
80,2021-10-04 08:00:00,0.07,0.35
81,2021-10-04 09:00:00,0.09,0.34
82,2021-10-04 10:00:00,0.12,0.41
83,2021-10-04 11:00:00,0.15,0.49
84,2021-10-04 12:00:00,0.18,0.5
85,2021-10-04 13:00:00,0.09,0.4
86,2021-10-04 14:00:00,0.1,0.22
87,2021-10-04 15:00:00,0.34,0.53
88,2021-10-04 16:00:00,0.12,0.27
89,2021-10-04 17:00:00,0.62,0.88
90,2021-10-04 18:00:00,2.4,2.93
91,2021-10-04 19:00:00,3.53,4.15
92,2021-10-04 20:00:00,5.29,5.98
93,2021-10-04 21:00:00,5.19,5.81
94,2021-10-04 22:00:00,2.92,3.23
95,2021-10-04 23:00:00,0.27,0.42
96,2021-10-05 00:00:00,0.7,0.88
97,2021-10-05 01:00:00,2.94,3.27
98,2021-10-05 02:00:00,4.14,4.52
99,2021-10-05 03:00:00,3.26,3.74
100,2021-10-05 04:00:00,3.21,3.7
101,2021-10-05 05:00:00,4.2,4.84
102,2021-10-05 06:00:00,0.84,1.24
103,2021-10-05 07:00:00,0.46,0.81
104,2021-10-05 08:00:00,0.19,0.4
105,2021-10-05 09:00:00,0.1,0.3
106,2021-10-05 10:00:00,0.61,0.82
107,2021-10-05 11:00:00,2.94,4.01
108,2021-10-05 12:00:00,0.43,0.71
109,2021-10-05 13:00:00,0.38,0.68
110,2021-10-05 14:00:00,1.0,1.36
111,2021-10-05 15:00:00,1.31,1.69
112,2021-10-05 16:00:00,5.01,5.73
