"Date and Time","NO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2022-01-01 00:00:00",10,4.56,3.26
"2022-01-01 01:00:00",13.6,12.74,9.04
"2022-01-01 02:00:00",12.46,21.58,14.25
"2022-01-01 03:00:00",8.01,25.29,13.91
"2022-01-01 04:00:00",5.65,27.08,14.62
"2022-01-01 05:00:00",5.62,29.25,16.22
"2022-01-01 06:00:00",4.62,23.6,13.74
"2022-01-01 07:00:00",4.88,27.81,16.39
"2022-01-01 08:00:00",14.02,19.98,12.72
"2022-01-01 09:00:00",4.99,21.23,13.01
"2022-01-01 10:00:00",5.9,22.23,12.86
"2022-01-01 11:00:00",10.16,25.45,14.8
"2022-01-01 12:00:00",7.25,24.83,14.45
"2022-01-01 13:00:00",14.48,22.89,13.3
"2022-01-01 14:00:00",19.43,22.12,12.79
"2022-01-01 15:00:00",15.61,19.91,11.7
"2022-01-01 16:00:00",17.69,20.52,11.98
"2022-01-01 17:00:00",12.74,19.5,11.9
"2022-01-01 18:00:00",16.93,17.98,11.47
"2022-01-01 19:00:00",25.46,18.06,11.37
"2022-01-01 20:00:00",22.98,16.21,10.41
"2022-01-01 21:00:00",17.08,17.21,10.11
"2022-01-01 22:00:00",14.76,18.14,11.08
"2022-01-01 23:00:00",9.87,18.43,11.09
"2022-01-02 00:00:00",12.73,18.08,10.81
"2022-01-02 01:00:00",10.32,16.8,9.88
"2022-01-02 02:00:00",8.27,18.24,10.41
"2022-01-02 03:00:00",4.89,16.4,9.23
"2022-01-02 04:00:00",4.82,11.69,6.83
"2022-01-02 05:00:00",3.07,11.3,6.16
"2022-01-02 06:00:00",4.06,12.61,6.57
"2022-01-02 07:00:00",3.99,11.35,6.06
"2022-01-02 08:00:00",11.63,9.35,5.32
"2022-01-02 09:00:00",7.47,10.04,5.17
"2022-01-02 10:00:00",12.88,10.11,5.47
"2022-01-02 11:00:00",11.24,9.75,5.42
"2022-01-02 12:00:00",13.1,4.44,2.71
"2022-01-02 13:00:00",12.18,5.3,2.86
"2022-01-02 14:00:00",22.97,7.66,3.7
"2022-01-02 15:00:00",15.94,10.15,5.09
"2022-01-02 16:00:00",24.31,8.4,5.07
"2022-01-02 17:00:00",20.83,9.21,5.48
"2022-01-02 18:00:00",18.34,12.86,7.54
"2022-01-02 19:00:00",18.6,15.6,9.32
"2022-01-02 20:00:00",16.75,14.06,8.81
"2022-01-02 21:00:00",19.68,15.55,9.26
"2022-01-02 22:00:00",13.7,15.14,8.79
"2022-01-02 23:00:00",15.37,16.53,9.28
"2022-01-03 00:00:00",12.34,15.36,8.8
"2022-01-03 01:00:00",6.5,14.17,8.15
"2022-01-03 02:00:00",5.29,14.09,8.06
"2022-01-03 03:00:00",4.37,13.62,7.65
"2022-01-03 04:00:00",2.49,14.8,7.95
"2022-01-03 05:00:00",1.11,13.48,7.17
"2022-01-03 06:00:00",4.13,14.36,7.5
"2022-01-03 07:00:00",6.35,14.99,7.73
"2022-01-03 08:00:00",14.71,15.85,8.3
"2022-01-03 09:00:00",9.74,13.7,7.72
"2022-01-03 10:00:00",9.54,14.9,7.99
"2022-01-03 11:00:00",9.24,13.1,7.09
"2022-01-03 12:00:00",16.2,10.85,6.24
"2022-01-03 13:00:00",14.25,13.94,7.66
"2022-01-03 14:00:00",30.23,13.75,7.37
"2022-01-03 15:00:00",26.68,13.07,6.56
"2022-01-03 16:00:00",25.77,10.73,5.74
"2022-01-03 17:00:00",29.39,14.11,7.55
"2022-01-03 18:00:00",42.31,15.04,8.51
"2022-01-03 19:00:00",43.77,14.7,9.64
"2022-01-03 20:00:00",43.65,10.67,7.04
"2022-01-03 21:00:00",31.11,5.79,4.74
"2022-01-03 22:00:00",35.85,5.43,4.42
"2022-01-03 23:00:00",38.71,9.22,5.42
"2022-01-04 00:00:00",50.16,8.75,4.5
"2022-01-04 01:00:00",45.7,9.61,4.7
"2022-01-04 02:00:00",24.17,8.92,4.75
"2022-01-04 03:00:00",10.66,10.02,5.32
"2022-01-04 04:00:00",9.59,10.1,4.97
"2022-01-04 05:00:00",5.88,8.7,4.41
"2022-01-04 06:00:00",25.34,8.72,4.47
"2022-01-04 07:00:00",51.94,7.49,4.46
"2022-01-04 08:00:00",63.94,9.3,5.9
"2022-01-04 09:00:00",54.53,9.67,5.96
"2022-01-04 10:00:00",47.11,11.28,6.25
"2022-01-04 11:00:00",41.59,13.3,7.07
